# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# 5 Transmission
# 6 Reflection
# 7 AVT
# x GenerationRate Intensity External_Source_ElectricField Transmission Reflection AVT 
60.4488 0 712.752 6705.83 0 0 0 
61.8589 0 712.387 6526.38 0 0 0 
63.2832 0 712.017 6342.32 0 0 0 
64.7218 0 711.644 6153.68 0 0 0 
66.1749 0 711.267 5960.5 0 0 0 
67.6425 0 710.889 5762.83 0 0 0 
69.1249 0 710.51 5560.73 0 0 0 
70.6221 0 710.13 5354.25 0 0 0 
72.1344 0 709.752 5143.48 0 0 0 
73.6619 0 709.376 4928.49 0 0 0 
75.2047 0 709.004 4709.38 0 0 0 
76.763 0 708.636 4486.24 0 0 0 
78.3369 0 708.273 4259.18 0 0 0 
79.9266 0 707.918 4028.34 0 0 0 
81.5323 0 707.571 3793.84 0 0 0 
83.1542 0 707.234 3555.82 0 0 0 
84.7923 0 706.907 3314.44 0 0 0 
86.4468 0 706.591 3069.86 0 0 0 
88.118 0 706.289 2822.26 0 0 0 
89.8059 0 706.001 2571.82 0 0 0 
91.5108 0 705.728 2318.75 0 0 0 
93.2328 0 705.471 2063.25 0 0 0 
94.9721 0 705.232 1805.56 0 0 0 
96.7288 0 705.011 1545.9 0 0 0 
98.5032 0 704.809 1284.52 0 0 0 
100.295 0 704.627 1021.69 0 0 0 
102.106 0 704.466 757.664 0 0 0 
103.934 0 704.327 492.737 0 0 0 
105.781 0 704.209 227.201 0 0 0 
107.646 0 704.114 -38.6374 0 0 0 
109.53 0 704.042 -304.461 0 0 0 
111.433 0 703.993 -569.941 0 0 0 
113.355 0 703.967 -834.739 0 0 0 
115.296 0 703.964 -1098.5 0 0 0 
117.257 0 703.985 -1360.88 0 0 0 
119.237 0 704.028 -1621.49 0 0 0 
121.238 0 704.093 -1879.97 0 0 0 
123.258 0 704.181 -2135.92 0 0 0 
125.299 0 704.289 -2388.96 0 0 0 
127.36 0 704.418 -2638.68 0 0 0 
129.442 0 704.567 -2884.69 0 0 0 
131.545 0 704.734 -3126.57 0 0 0 
133.669 0 704.918 -3363.91 0 0 0 
135.814 0 705.118 -3596.3 0 0 0 
137.981 0 705.334 -3823.32 0 0 0 
140.169 0 705.562 -4044.55 0 0 0 
142.38 0 705.803 -4259.58 0 0 0 
144.613 0 706.053 -4468 0 0 0 
146.868 0 706.313 -4669.4 0 0 0 
149.145 0 706.579 -4863.37 0 0 0 
151.446 0 706.851 -5049.53 0 0 0 
153.77 0 707.126 -5227.49 0 0 0 
156.117 0 707.404 -5396.87 0 0 0 
158.487 0 707.682 -5557.31 0 0 0 
160.882 0 707.959 -5708.46 0 0 0 
163.3 0 708.234 -5849.98 0 0 0 
165.743 0 708.504 -5981.58 0 0 0 
168.21 0 708.769 -6102.94 0 0 0 
170.702 0 709.028 -6213.79 0 0 0 
173.219 0 709.279 -6313.89 0 0 0 
175.762 0 709.522 -6403 0 0 0 
178.33 0 709.755 -6480.94 0 0 0 
180.923 0 709.977 -6547.52 0 0 0 
183.543 0 710.189 -6602.61 0 0 0 
186.189 0 710.39 -6646.1 0 0 0 
188.861 0 710.579 -6677.91 0 0 0 
191.561 0 710.757 -6698 0 0 0 
194.287 0 710.922 -6706.37 0 0 0 
197.041 0 711.076 -6703.04 0 0 0 
199.822 0 711.218 -6688.08 0 0 0 
202.632 0 711.348 -6661.6 0 0 0 
205.469 0 711.468 -6623.74 0 0 0 
208.336 0 711.576 -6574.67 0 0 0 
211.23 0 711.674 -6514.63 0 0 0 
214.154 0 711.762 -6443.86 0 0 0 
217.108 0 711.84 -6362.66 0 0 0 
220.091 0 711.909 -6271.37 0 0 0 
223.103 0 711.97 -6170.35 0 0 0 
226.147 0 712.021 -6060 0 0 0 
229.22 0 712.065 -5940.76 0 0 0 
232.325 0 712.101 -5813.08 0 0 0 
235.461 0 712.128 -5677.46 0 0 0 
238.628 0 712.149 -5534.42 0 0 0 
241.827 0 712.162 -5384.48 0 0 0 
245.058 0 712.167 -5228.22 0 0 0 
248.321 0 712.166 -5066.19 0 0 0 
251.618 0 712.157 -4898.98 0 0 0 
254.947 0 712.141 -4727.19 0 0 0 
258.31 0 712.117 -4551.39 0 0 0 
261.707 0 712.087 -4372.2 0 0 0 
265.137 0 712.05 -4190.18 0 0 0 
268.602 0 712.006 -4005.92 0 0 0 
