# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# 5 Transmission
# 6 Reflection
# 7 Absorption
# x GenerationRate Intensity External_Source_ElectricField Transmission Reflection Absorption 
443.743 0 831.795 3063.7 0 0 0 
451.487 0 829.956 3250.78 0 0 0 
459.387 0 829.033 3414.06 0 0 0 
467.447 0 829.107 3550.1 0 0 0 
475.669 0 830.239 3655.7 0 0 0 
484.058 0 832.472 3728.07 0 0 0 
492.615 0 835.815 3765.02 0 0 0 
501.345 0 840.241 3765.19 0 0 0 
510.252 0 845.675 3728.13 0 0 0 
519.338 0 851.988 3654.44 0 0 0 
528.608 0 858.992 3545.81 0 0 0 
538.064 0 866.437 3404.91 0 0 0 
547.712 0 874.016 3235.31 0 0 0 
557.554 0 881.372 3041.21 0 0 0 
567.594 0 888.124 2827.15 0 0 0 
577.838 0 893.881 2597.62 0 0 0 
588.288 0 898.282 2356.65 0 0 0 
598.949 0 901.019 2107.45 0 0 0 
609.825 0 901.874 1852.06 0 0 0 
620.92 0 900.741 1591.22 0 0 0 
632.24 0 897.639 1324.29 0 0 0 
643.788 0 892.724 1049.49 0 0 0 
655.568 0 886.277 764.353 0 0 0 
667.587 0 878.693 466.337 0 0 0 
679.848 0 870.455 153.698 0 0 0 
692.357 0 862.113 -173.636 0 0 0 
705.118 0 854.246 -513.213 0 0 0 
718.137 0 847.431 -859.422 0 0 0 
731.418 0 842.202 -1203.22 0 0 0 
744.967 0 839.007 -1532.36 0 0 0 
758.79 0 838.163 -1832.18 0 0 0 
772.891 0 839.807 -2087 0 0 0 
787.278 0 843.866 -2281.89 0 0 0 
801.954 0 850.024 -2404.71 0 0 0 
816.927 0 857.73 -2448.06 0 0 0 
832.202 0 866.22 -2410.62 0 0 0 
847.785 0 874.583 -2297.76 0 0 0 
863.682 0 881.852 -2120.99 0 0 0 
879.901 0 887.14 -1896.22 0 0 0 
896.447 0 889.77 -1641.12 0 0 0 
913.326 0 889.409 -1372.02 0 0 0 
930.546 0 886.138 -1100.96 0 0 0 
948.114 0 880.467 -833.799 0 0 0 
966.036 0 873.251 -569.898 0 0 0 
984.32 0 865.567 -303.76 0 0 0 
1002.97 0 858.548 -28.3423 0 0 0 
1022 0 853.231 260.705 0 0 0 
1041.42 0 850.413 561.126 0 0 0 
1061.22 0 850.516 861.807 0 0 0 
1081.43 0 853.469 1143.23 0 0 0 
1102.04 0 858.653 1380.85 0 0 0 
1123.07 0 864.964 1550.74 0 0 0 
1144.52 0 871.038 1635.6 0 0 0 
1166.4 0 875.597 1629.21 0 0 0 
1188.73 0 877.783 1537.37 0 0 0 
1211.51 0 877.361 1374.89 0 0 0 
1234.75 0 874.725 1159.68 0 0 0 
1258.45 0 870.729 906.677 0 0 0 
1282.64 0 866.464 624.419 0 0 0 
1307.31 0 863.019 316.411 0 0 0 
1332.48 0 861.22 -13.3025 0 0 0 
1358.16 0 861.363 -353.27 0 0 0 
1384.36 0 863.054 -680.759 0 0 0 
1411.08 0 865.34 -964.06 0 0 0 
1438.35 0 867.181 -1170.83 0 0 0 
1466.16 0 867.996 -1278.42 0 0 0 
1494.54 0 867.913 -1280.36 0 0 0 
1523.49 0 867.551 -1184.97 0 0 0 
1553.02 0 867.55 -1007.22 0 0 0 
1583.15 0 868.178 -760.33 0 0 0 
1613.89 0 869.164 -454.154 0 0 0 
1645.25 0 869.747 -102.573 0 0 0 
1677.24 0 869.008 266.137 0 0 0 
1709.87 0 866.57 606.577 0 0 0 
1743.17 0 863.299 867.505 0 0 0 
1777.13 0 861.168 1012.05 0 0 0 
1811.78 0 861.985 1032.24 0 0 0 
1847.14 0 865.938 945.561 0 0 0 
1883.2 0 871.123 775.887 0 0 0 
1919.99 0 874.383 536.045 0 0 0 
1957.53 0 873.19 229.464 0 0 0 
1995.82 0 867.71 -129.204 0 0 0 
2034.88 0 861.318 -494.038 0 0 0 
2074.74 0 858.569 -789.881 0 0 0 
2115.39 0 861.781 -939.803 0 0 0 
2156.87 0 868.84 -901.048 0 0 0 
2199.19 0 874.374 -687.711 0 0 0 
2242.36 0 873.908 -367.447 0 0 0 
2286.4 0 867.773 -30.8846 0 0 0 
2331.33 0 861.259 253.718 0 0 0 
2377.16 0 860.108 468.775 0 0 0 
2423.92 0 865.124 625.486 0 0 0 
2471.62 0 871.268 705.763 0 0 0 
2520.29 0 872.502 642.551 0 0 0 
2569.94 0 868.04 389.548 0 0 0 
2620.59 0 863.185 11.1487 0 0 0 
2672.26 0 863.194 -335.499 0 0 0 
2724.98 0 867.332 -527.987 0 0 0 
2778.76 0 870.037 -560.722 0 0 0 
2833.62 0 868.143 -487.627 0 0 0 
2889.59 0 865.126 -330.029 0 0 0 
2946.7 0 865.549 -80.6832 0 0 0 
