# tmm TMMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
584 0.0055375 0.96186 0.0326022
585 0.00551164 0.962005 0.0324838
586 0.00548596 0.962148 0.032366
587 0.00546022 0.962292 0.0322474
588 0.00543425 0.962439 0.0321272
589 0.0054078 0.962589 0.0320036
590 0.00538067 0.962744 0.0318757
591 0.00535276 0.962905 0.0317427
592 0.00532416 0.963071 0.0316051
593 0.00529511 0.96324 0.0314645
594 0.00526576 0.963413 0.0313217
595 0.00523636 0.963586 0.0311781
596 0.00520705 0.963758 0.0310346
597 0.00517802 0.96393 0.0308925
598 0.00514947 0.964098 0.0307527
599 0.00512161 0.964262 0.0306166
600 0.00509453 0.964421 0.0304849
601 0.00506843 0.964573 0.0303585
602 0.00504324 0.964719 0.0302373
603 0.00501885 0.964861 0.0301205
604 0.00499521 0.964997 0.0300078
605 0.0049722 0.965129 0.0298986
606 0.00494971 0.965258 0.0297921
607 0.00492768 0.965384 0.0296882
608 0.00490602 0.965508 0.0295861
609 0.00488464 0.96563 0.0294854
610 0.00486347 0.965751 0.0293856
611 0.00484243 0.965871 0.0292863
612 0.00482143 0.965992 0.029187
613 0.00480042 0.966112 0.0290872
614 0.0047793 0.966234 0.0289865
615 0.00475803 0.966357 0.0288846
616 0.00473656 0.966482 0.0287812
617 0.00471481 0.966609 0.0286757
618 0.00469269 0.96674 0.0285677
619 0.00467014 0.966873 0.0284567
620 0.00464715 0.96701 0.0283428
621 0.00462409 0.967149 0.0282264
622 0.00460065 0.967292 0.0281074
623 0.00457699 0.967436 0.0279868
624 0.00455318 0.967582 0.027865
625 0.00452944 0.967727 0.0277432
626 0.00450588 0.967872 0.0276223
627 0.00448262 0.968015 0.0275028
628 0.00445983 0.968154 0.027386
629 0.00443759 0.96829 0.0272723
630 0.00441608 0.968421 0.0271628
631 0.00439536 0.968547 0.0270578
632 0.00437538 0.968667 0.0269572
633 0.00435605 0.968784 0.0268603
634 0.00433729 0.968896 0.0267667
635 0.00431896 0.969006 0.0266755
636 0.00430099 0.969113 0.0265863
637 0.0042833 0.969218 0.0264985
638 0.00426578 0.969323 0.0264116
639 0.00424836 0.969427 0.0263251
640 0.00423095 0.969531 0.0262384
641 0.00421349 0.969635 0.0261512
642 0.00419595 0.969741 0.0260632
643 0.00417843 0.969846 0.0259752
644 0.00416088 0.969952 0.0258868
645 0.00414336 0.970058 0.0257982
646 0.00412587 0.970164 0.0257097
647 0.00410843 0.97027 0.0256213
648 0.00409113 0.970375 0.0255335
649 0.0040739 0.97048 0.025446
650 0.00405681 0.970584 0.025359
651 0.00404026 0.970686 0.0252739
652 0.00402383 0.970787 0.0251893
653 0.00400753 0.970887 0.0251053
654 0.00399135 0.970987 0.0250219
655 0.0039753 0.971086 0.0249391
656 0.00395934 0.971184 0.0248567
657 0.0039435 0.971282 0.0247749
658 0.00392773 0.971379 0.0246933
659 0.00391205 0.971476 0.024612
660 0.00389642 0.971573 0.024531
661 0.00388051 0.97167 0.0244493
662 0.00386468 0.971767 0.024368
663 0.00384895 0.971864 0.0242871
664 0.00383329 0.97196 0.0242063
665 0.00381774 0.972056 0.0241262
666 0.00380229 0.972151 0.0240464
667 0.00378695 0.972246 0.0239672
668 0.00377173 0.97234 0.0238886
669 0.00375662 0.972433 0.0238105
670 0.00374166 0.972525 0.0237331
671 0.00372715 0.972616 0.0236572
672 0.00371278 0.972705 0.0235819
673 0.00369846 0.972795 0.0235069
674 0.00368423 0.972884 0.0234321
675 0.00367001 0.972973 0.0233574
676 0.00365585 0.973061 0.0232829
677 0.00364167 0.97315 0.023208
678 0.00362745 0.97324 0.0231328
679 0.00361318 0.97333 0.0230571
680 0.00359886 0.97342 0.0229808
681 0.00358446 0.973512 0.022904
682 0.00357006 0.973603 0.022827
683 0.00355571 0.973694 0.0227501
684 0.00354153 0.973784 0.0226742
685 0.00352758 0.973873 0.0225996
686 0.00351392 0.973959 0.0225267
687 0.00350065 0.974043 0.0224561
688 0.00348783 0.974124 0.0223884
689 0.00347553 0.974201 0.0223238
690 0.00346383 0.974273 0.0222629
691 0.00345305 0.97434 0.0222067
692 0.00344282 0.974403 0.0221538
693 0.00343296 0.974464 0.0221033
694 0.00342336 0.974522 0.0220543
695 0.00341387 0.97458 0.0220059
696 0.00340438 0.974638 0.0219574
697 0.00339474 0.974697 0.0219079
698 0.00338481 0.974759 0.0218564
699 0.00337452 0.974823 0.0218024
700 0.00336367 0.974892 0.0217448
701 0.00335196 0.974966 0.0216825
702 0.00333973 0.975043 0.0216168
703 0.00332719 0.975124 0.0215489
704 0.00331444 0.975206 0.0214796
705 0.00330161 0.975289 0.0214096
706 0.00328891 0.975371 0.0213403
707 0.00327639 0.975452 0.0212721
708 0.00326425 0.97553 0.0212062
709 0.00325261 0.975604 0.0211434
710 0.00324158 0.975674 0.0210845
711 0.00323155 0.975738 0.0210309
712 0.00322214 0.975797 0.0209811
713 0.00321317 0.975853 0.0209343
714 0.00320453 0.975906 0.0208894
715 0.00319604 0.975959 0.0208455
716 0.00318761 0.976011 0.0208018
717 0.00317909 0.976063 0.0207575
718 0.0031703 0.976118 0.0207113
719 0.00316115 0.976176 0.0206627
720 0.0031515 0.976238 0.0206107
721 0.00314126 0.976304 0.0205548
722 0.00313053 0.976374 0.0204956
723 0.00311943 0.976447 0.0204338
724 0.00310814 0.976521 0.0203707
725 0.00309674 0.976596 0.0203068
726 0.00308541 0.976671 0.0202432
727 0.00307427 0.976745 0.0201807
728 0.00306345 0.976816 0.0201203
729 0.00305307 0.976884 0.0200627
730 0.00304327 0.976948 0.0200088
731 0.00303412 0.977007 0.019959
732 0.00302555 0.977061 0.019913
733 0.00301741 0.977113 0.0198698
734 0.00300957 0.977162 0.0198284
735 0.0030019 0.97721 0.0197881
736 0.0029943 0.977258 0.0197482
737 0.00298661 0.977306 0.0197075
738 0.00297873 0.977356 0.0196656
739 0.00297053 0.977408 0.0196215
740 0.00296188 0.977464 0.0195744
741 0.00295272 0.977524 0.0195237
742 0.00294312 0.977587 0.0194701
743 0.00293317 0.977653 0.0194141
744 0.00292303 0.97772 0.0193567
745 0.00291274 0.977789 0.0192982
746 0.00290246 0.977858 0.0192398
747 0.00289225 0.977926 0.0191817
748 0.00288226 0.977993 0.019125
749 0.00287257 0.978057 0.0190702
750 0.00286329 0.978119 0.0190179
751 0.00285471 0.978176 0.0189694
752 0.00284657 0.97823 0.0189237
753 0.00283885 0.97828 0.0188808
754 0.00283145 0.978329 0.0188399
755 0.00282438 0.978374 0.0188011
756 0.00281753 0.978419 0.0187638
757 0.0028109 0.978461 0.0187279
758 0.00280444 0.978503 0.018693
759 0.00279807 0.978543 0.0186587
760 0.00279176 0.978584 0.0186247
761 0.00278525 0.978625 0.0185902
762 0.00277871 0.978666 0.0185555
763 0.00277212 0.978708 0.0185203
764 0.00276541 0.97875 0.0184844
765 0.00275858 0.978794 0.0184475
766 0.00275158 0.978839 0.0184094
767 0.00274437 0.978886 0.0183699
768 0.00273689 0.978935 0.0183285
769 0.00272912 0.978986 0.0182851
770 0.00272106 0.979039 0.0182396
771 0.00271285 0.979095 0.0181923
772 0.00270437 0.979153 0.0181431
773 0.00269572 0.979212 0.0180926
774 0.00268694 0.979272 0.0180412
775 0.00267814 0.979332 0.0179896
776 0.0026694 0.979392 0.0179384
777 0.00266077 0.979451 0.0178879
778 0.00265238 0.979509 0.0178388
779 0.00264425 0.979564 0.0177915
780 0.0026365 0.979617 0.0177467
781 0.00262916 0.979666 0.0177046
782 0.00262221 0.979713 0.017665
783 0.00261559 0.979757 0.0176276
784 0.00260926 0.979799 0.0175921
785 0.00260314 0.979839 0.017558
