# tmm TMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
625 0.227332 0.757626 0.015041
626 0.226436 0.758542 0.01502
627 0.225562 0.759436 0.015
628 0.224675 0.760344 0.01498
629 0.22381 0.761229 0.01496
630 0.22293 0.762129 0.014939
631 0.222109 0.762969 0.01492
632 0.221274 0.763823 0.014901
633 0.220444 0.764675 0.01488
634 0.219616 0.765522 0.014861
635 0.218811 0.766347 0.01484
636 0.217991 0.767186 0.014821
637 0.217176 0.768022 0.014801
638 0.216381 0.768836 0.014782
639 0.215573 0.769663 0.014763
640 0.214769 0.770487 0.014742
641 0.214003 0.771273 0.014723
642 0.21324 0.772055 0.014703
643 0.212481 0.772834 0.014684
644 0.211725 0.773609 0.014664
645 0.210973 0.774381 0.014645
646 0.210224 0.775149 0.014626
647 0.209461 0.775931 0.014606
648 0.208719 0.776691 0.014588
649 0.20798 0.77745 0.014569
650 0.207245 0.778204 0.01455
651 0.206501 0.778988 0.014509
652 0.205778 0.779753 0.014468
653 0.205041 0.780529 0.014428
654 0.204308 0.781303 0.014388
655 0.203594 0.782056 0.014349
656 0.202867 0.782823 0.014309
657 0.202143 0.783586 0.014269
658 0.201423 0.784345 0.01423
659 0.200722 0.785086 0.014191
660 0.200008 0.785838 0.014152
661 0.199315 0.786577 0.014106
662 0.198624 0.787312 0.014062
663 0.197937 0.788044 0.014017
664 0.197253 0.788773 0.013973
665 0.196572 0.789499 0.013928
666 0.195894 0.790221 0.013884
667 0.195219 0.79094 0.01384
668 0.194562 0.79164 0.013797
669 0.193892 0.792353 0.013753
670 0.193226 0.793063 0.01371
671 0.192578 0.793754 0.013667
672 0.191947 0.794426 0.013625
673 0.191304 0.795111 0.013584
674 0.190679 0.795778 0.013542
675 0.190041 0.796457 0.0135
676 0.189422 0.797118 0.013459
677 0.188804 0.797776 0.013419
678 0.188175 0.798446 0.013377
679 0.187563 0.799099 0.013337
680 0.186939 0.799764 0.013296
681 0.186346 0.800394 0.013258
682 0.185755 0.801022 0.013221
683 0.185182 0.801633 0.013184
684 0.184596 0.802255 0.013148
685 0.184012 0.802875 0.013111
686 0.183432 0.803493 0.013074
687 0.182853 0.804108 0.013038
688 0.182277 0.80472 0.013002
689 0.181703 0.80533 0.012966
690 0.181132 0.805937 0.01293
691 0.180587 0.806502 0.01291
692 0.180058 0.807049 0.012891
693 0.179518 0.807609 0.012872
694 0.17898 0.808167 0.012852
695 0.178444 0.808722 0.012833
696 0.177923 0.809262 0.012813
697 0.177392 0.809813 0.012794
698 0.176862 0.810362 0.012775
699 0.176334 0.810909 0.012755
700 0.175808 0.811453 0.012737
701 0.175312 0.811969 0.012717
702 0.174803 0.812496 0.012699
703 0.174311 0.813008 0.01268
704 0.173806 0.813531 0.012661
705 0.173317 0.814039 0.012643
706 0.172816 0.814558 0.012624
707 0.172331 0.815062 0.012606
708 0.171834 0.815578 0.012586
709 0.171352 0.816078 0.012568
710 0.170859 0.816589 0.01255
711 0.170394 0.817073 0.012532
712 0.169931 0.817555 0.012513
713 0.169456 0.818047 0.012495
714 0.168996 0.818526 0.012476
715 0.168537 0.819002 0.012459
716 0.168068 0.81949 0.012441
717 0.167613 0.819963 0.012422
718 0.167159 0.820434 0.012405
719 0.166695 0.820917 0.012386
720 0.166245 0.821385 0.012369
721 0.165797 0.821852 0.012349
722 0.165351 0.822319 0.012329
723 0.164918 0.822771 0.01231
724 0.164475 0.823234 0.01229
725 0.164033 0.823694 0.012271
726 0.163593 0.824154 0.012252
727 0.163167 0.824599 0.012232
728 0.16273 0.825056 0.012213
729 0.162294 0.825511 0.012193
730 0.161861 0.825964 0.012174
731 0.161361 0.826508 0.01213
732 0.160875 0.827038 0.012086
733 0.160379 0.827578 0.012042
734 0.159885 0.828116 0.011997
735 0.159394 0.828651 0.011954
736 0.158904 0.829184 0.01191
737 0.158416 0.829715 0.011867
738 0.157942 0.830232 0.011824
739 0.157458 0.83076 0.011781
740 0.156976 0.831284 0.011738
741 0.156508 0.831794 0.011697
742 0.156053 0.832291 0.011655
743 0.155588 0.832797 0.011614
744 0.155136 0.833289 0.011573
745 0.154675 0.833792 0.011532
746 0.154227 0.83428 0.011491
747 0.153769 0.834779 0.01145
748 0.153314 0.835275 0.01141
749 0.152871 0.835758 0.01137
750 0.152419 0.83625 0.01133
751 0.15199 0.836717 0.011291
752 0.151564 0.837182 0.011253
753 0.151128 0.837658 0.011213
754 0.150704 0.83812 0.011175
755 0.150271 0.838591 0.011136
756 0.149851 0.839049 0.011098
757 0.149433 0.839506 0.01106
758 0.149005 0.839972 0.011022
759 0.148589 0.840424 0.010985
760 0.148175 0.840876 0.010947
761 0.147763 0.841325 0.01091
762 0.147363 0.841762 0.010874
763 0.146964 0.842197 0.010838
764 0.146567 0.84263 0.010802
765 0.146171 0.843063 0.010765
766 0.145766 0.843504 0.010729
767 0.145373 0.843932 0.010693
768 0.144982 0.844359 0.010658
769 0.144592 0.844785 0.010622
770 0.144193 0.845219 0.010587
771 0.143773 0.845669 0.010556
772 0.143356 0.846117 0.010526
773 0.14293 0.846574 0.010495
774 0.142515 0.847018 0.010465
775 0.142103 0.847461 0.010435
776 0.141682 0.847912 0.010405
777 0.141272 0.848351 0.010375
778 0.140864 0.848789 0.010345
779 0.140448 0.849235 0.010315
780 0.140044 0.849669 0.010286
781 0.13961 0.850128 0.010261
782 0.139178 0.850585 0.010235
783 0.138738 0.85105 0.01021
784 0.13831 0.851504 0.010185
785 0.137883 0.851955 0.01016
786 0.137459 0.852405 0.010135
787 0.137036 0.852852 0.010111
788 0.136614 0.853298 0.010086
789 0.136185 0.853752 0.010061
790 0.135768 0.854194 0.010036
791 0.135361 0.854625 0.010012
792 0.134957 0.855053 0.009989
793 0.134553 0.85548 0.009965
794 0.134152 0.855905 0.009941
795 0.133762 0.856319 0.009917
796 0.133363 0.856741 0.009894
797 0.132967 0.857161 0.009871
798 0.132572 0.857579 0.009847
799 0.132178 0.857997 0.009824
800 0.131786 0.858412 0.0098
801 0.131405 0.858816 0.009778
802 0.131026 0.859218 0.009755
803 0.130657 0.859609 0.009732
804 0.13028 0.860008 0.00971
805 0.129905 0.860406 0.009687
806 0.129531 0.860802 0.009665
807 0.129168 0.861187 0.009643
808 0.128797 0.861581 0.009621
809 0.128428 0.861972 0.009598
810 0.12806 0.862362 0.009576
811 0.127711 0.862732 0.009555
812 0.127355 0.86311 0.009533
813 0.127009 0.863478 0.009512
814 0.126655 0.863852 0.009491
815 0.126303 0.864226 0.009469
816 0.125961 0.86459 0.009448
817 0.125611 0.86496 0.009427
818 0.125263 0.86533 0.009405
819 0.124925 0.865689 0.009384
820 0.124579 0.866056 0.009364
821 0.124243 0.866407 0.009349
822 0.123899 0.866766 0.009334
823 0.123564 0.867114 0.00932
824 0.123223 0.86747 0.009305
825 0.122883 0.867826 0.00929
826 0.122553 0.86817 0.009276
827 0.122215 0.868522 0.009261
828 0.121887 0.868864 0.009247
829 0.121552 0.869214 0.009232
830 0.121227 0.869554 0.009218
831 0.120884 0.869899 0.009215
832 0.120551 0.870236 0.009211
833 0.120211 0.870579 0.009208
834 0.119881 0.870912 0.009205
835 0.119544 0.871253 0.009201
836 0.119216 0.871584 0.009198
837 0.11889 0.871914 0.009195
838 0.118556 0.872251 0.009191
839 0.118232 0.872578 0.009188
840 0.117901 0.872912 0.009185
841 0.117588 0.873229 0.009182
842 0.117275 0.873545 0.009178
843 0.116956 0.873868 0.009174
844 0.116646 0.874182 0.009171
845 0.116329 0.874502 0.009167
846 0.116022 0.874814 0.009163
