# tmm TMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
853 0.110756 0.852703 0.036539
854 0.110467 0.853006 0.036526
855 0.110186 0.8533 0.036512
856 0.109906 0.853592 0.036501
857 0.109619 0.853894 0.036485
858 0.109341 0.854183 0.036474
859 0.109064 0.854474 0.03646
860 0.108781 0.854771 0.036447
861 0.108513 0.855051 0.036434
862 0.108246 0.855331 0.036422
863 0.107973 0.855618 0.036407
864 0.107708 0.855896 0.036395
865 0.107444 0.856173 0.036382
866 0.107173 0.856458 0.036368
867 0.106911 0.856733 0.036355
868 0.10665 0.857007 0.036342
869 0.106382 0.857289 0.036327
870 0.106123 0.857562 0.036314
871 0.105871 0.857827 0.0363
872 0.105613 0.858098 0.036287
873 0.105363 0.858362 0.036273
874 0.105114 0.858623 0.036261
875 0.104859 0.858894 0.036246
876 0.104611 0.859154 0.036234
877 0.104365 0.859414 0.03622
878 0.104112 0.85968 0.036206
879 0.103867 0.85994 0.036192
880 0.103616 0.860204 0.036178
881 0.103377 0.860433 0.036189
882 0.103138 0.860659 0.036202
883 0.102894 0.860894 0.036211
884 0.102657 0.861121 0.036221
885 0.102414 0.861355 0.03623
886 0.102178 0.861578 0.036242
887 0.101944 0.861803 0.036252
888 0.101703 0.862035 0.03626
889 0.10147 0.862256 0.036272
890 0.101232 0.862487 0.03628
891 0.101003 0.862675 0.03632
892 0.100769 0.862873 0.036356
893 0.100543 0.86306 0.036396
894 0.10031 0.863254 0.036434
895 0.100085 0.863441 0.036473
896 0.099854 0.863636 0.036509
897 0.09963 0.863821 0.036547
898 0.099401 0.864014 0.036584
899 0.099178 0.864198 0.036622
900 0.098951 0.864391 0.036657
901 0.098736 0.864569 0.036694
902 0.098516 0.864754 0.036729
903 0.098297 0.864938 0.036764
904 0.098084 0.865116 0.036798
905 0.097866 0.865299 0.036833
906 0.097655 0.865475 0.036868
907 0.097439 0.865657 0.036903
908 0.097223 0.865841 0.036934
909 0.097014 0.866015 0.036969
910 0.096799 0.866196 0.037003
911 0.096592 0.866373 0.037033
912 0.096385 0.866548 0.037066
