# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Internal_Source_ElectricField
# 3 Internal_Poynting
# 4 Internal_Power
# 5 Internal_Intensity
# 6 Internal_Absorption
# x Internal_Source_ElectricField Internal_Poynting Internal_Power Internal_Intensity Internal_Absorption 
57 -0.222075 -0.134622 0 0.000178592 0.000461032 
58 -0.220849 -0.134679 0 0.000178667 0.000461225 
59 -0.21891 -0.134735 0 0.000178742 0.000461418 
60 -0.216262 -0.134792 0 0.000178817 0.000461612 
61 -0.212915 -0.134848 0 0.000178891 0.000461805 
62 -0.208879 -0.134905 0 0.000178966 0.000461998 
63 -0.204167 -0.134961 0 0.000179041 0.000462192 
64 -0.198794 -0.135018 0 0.000179116 0.000462386 
65 -0.192777 -0.135074 0 0.000179191 0.000462579 
66 -0.186134 -0.135131 0 0.000179267 0.000462773 
67 -0.178888 -0.135187 0 0.000179342 0.000462967 
68 -0.171061 -0.135244 0 0.000179417 0.000463161 
69 -0.162678 -0.135301 0 0.000179492 0.000463355 
70 -0.153767 -0.135357 0 0.000179567 0.000463549 
71 -0.144355 -0.135414 0 0.000179642 0.000463743 
72 -0.134474 -0.135471 0 0.000179718 0.000463938 
73 -0.124153 -0.135528 0 0.000179793 0.000464132 
74 -0.113428 -0.135584 0 0.000179868 0.000464327 
75 -0.102332 -0.135641 0 0.000179944 0.000464521 
76 -0.0909008 -0.135698 0 0.000180019 0.000464716 
77 -0.0791713 -0.135755 0 0.000180094 0.00046491 
78 -0.0671812 -0.135812 0 0.00018017 0.000465105 
79 -0.0549692 -0.135869 0 0.000180245 0.0004653 
80 -0.0425746 -0.135926 0 0.000180321 0.000465495 
81 -0.0300372 -0.135983 0 0.000180396 0.00046569 
82 -0.0173977 -0.136039 0 0.000180472 0.000465885 
83 -0.00469664 -0.136096 0 0.000180548 0.00046608 
84 0.00802489 -0.136154 0 0.000180623 0.000466276 
85 0.0207258 -0.136211 0 0.000180699 0.000466471 
86 0.0333652 -0.136268 0 0.000180775 0.000466666 
87 0.0459021 -0.136325 0 0.00018085 0.000466862 
88 0.058296 -0.136382 0 0.000180926 0.000467057 
89 0.0705069 -0.136439 0 0.000181002 0.000467253 
90 0.0824952 -0.136496 0 0.000181078 0.000467449 
91 0.0942221 -0.136553 0 0.000181154 0.000467645 
92 0.10565 -0.136611 0 0.00018123 0.000467841 
93 0.116741 -0.136668 0 0.000181306 0.000468037 
94 0.12746 -0.136725 0 0.000181381 0.000468233 
95 0.137772 -0.136782 0 0.000181457 0.000468429 
96 0.147643 -0.13684 0 0.000181533 0.000468625 
97 0.157042 -0.136897 0 0.00018161 0.000468822 
98 0.165937 -0.136954 0 0.000181686 0.000469018 
99 0.174301 -0.137012 0 0.000181762 0.000469214 
100 0.182105 -0.137069 0 0.000181838 0.000469411 
101 0.189324 -0.137127 0 0.000181914 0.000469608 
102 0.195935 -0.137184 0 0.00018199 0.000469804 
103 0.201916 -0.137241 0 0.000182067 0.000470001 
104 0.207248 -0.137299 0 0.000182143 0.000470198 
105 0.211912 -0.137356 0 0.000182219 0.000470395 
106 0.215895 -0.137414 0 0.000182295 0.000470592 
107 0.219181 -0.137472 0 0.000182372 0.000470789 
108 0.221762 -0.137529 0 0.000182448 0.000470987 
109 0.223627 -0.137587 0 0.000182525 0.000471184 
110 0.224771 -0.137644 0 0.000182601 0.000471381 
111 0.22519 -0.137702 0 0.000182678 0.000471579 
112 0.224882 -0.13776 0 0.000182754 0.000471777 
113 0.223847 -0.137818 0 0.000182831 0.000471974 
114 0.22209 -0.137875 0 0.000182907 0.000472172 
115 0.219614 -0.137933 0 0.000182984 0.00047237 
116 0.216428 -0.137991 0 0.000183061 0.000472568 
117 0.212542 -0.138049 0 0.000183137 0.000472766 
118 0.207968 -0.138106 0 0.000183214 0.000472964 
119 0.202721 -0.138164 0 0.000183291 0.000473162 
120 0.196816 -0.138222 0 0.000183368 0.00047336 
121 0.190274 -0.13828 0 0.000183444 0.000473558 
122 0.183115 -0.138338 0 0.000183521 0.000473757 
123 0.175361 -0.138396 0 0.000183598 0.000473955 
124 0.167038 -0.138454 0 0.000183675 0.000474154 
125 0.158172 -0.138512 0 0.000183752 0.000474353 
126 0.148791 -0.13857 0 0.000183829 0.000474551 
127 0.138926 -0.138628 0 0.000183906 0.00047475 
128 0.128609 -0.138686 0 0.000183983 0.000474949 
129 0.117871 -0.138744 0 0.00018406 0.000475148 
130 0.106749 -0.138802 0 0.000184137 0.000475347 
131 0.0952772 -0.138861 0 0.000184215 0.000475546 
132 0.083493 -0.138919 0 0.000184292 0.000475745 
133 0.0714342 -0.138977 0 0.000184369 0.000475945 
134 0.0591397 -0.139035 0 0.000184446 0.000476144 
135 0.0466491 -0.139093 0 0.000184523 0.000476344 
136 0.0340027 -0.139152 0 0.000184601 0.000476543 
137 0.0212411 -0.13921 0 0.000184678 0.000476743 
138 0.00840563 -0.139268 0 0.000184755 0.000476943 
139 -0.00446239 -0.139327 0 0.000184833 0.000477142 
140 -0.0173214 -0.139385 0 0.00018491 0.000477342 
141 -0.0301298 -0.139443 0 0.000184988 0.000477542 
142 -0.0428464 -0.139502 0 0.000185065 0.000477742 
143 -0.0554299 -0.13956 0 0.000185143 0.000477943 
144 -0.0678397 -0.139619 0 0.00018522 0.000478143 
145 -0.0800356 -0.139677 0 0.000185298 0.000478343 
146 -0.0919782 -0.139736 0 0.000185376 0.000478544 
147 -0.103629 -0.139794 0 0.000185453 0.000478744 
148 -0.11495 -0.139853 0 0.000185531 0.000478945 
149 -0.125904 -0.139912 0 0.000185609 0.000479145 
150 -0.136456 -0.13997 0 0.000185686 0.000479346 
151 -0.146573 -0.140029 0 0.000185764 0.000479547 
152 -0.15622 -0.140087 0 0.000185842 0.000479748 
153 -0.165367 -0.140146 0 0.00018592 0.000479949 
154 -0.173983 -0.140205 0 0.000185998 0.00048015 
155 -0.182042 -0.140264 0 0.000186076 0.000480351 
156 -0.189516 -0.140322 0 0.000186154 0.000480552 
157 -0.196381 -0.140381 0 0.000186232 0.000480754 
158 -0.202615 -0.14044 0 0.00018631 0.000480955 
159 -0.208197 -0.140499 0 0.000186388 0.000481157 
160 -0.213109 -0.140558 0 0.000186466 0.000481358 
161 -0.217335 -0.140617 0 0.000186544 0.00048156 
162 -0.220862 -0.140675 0 0.000186622 0.000481762 
163 -0.223676 -0.140734 0 0.0001867 0.000481963 
164 -0.225769 -0.140793 0 0.000186779 0.000482165 
165 -0.227135 -0.140852 0 0.000186857 0.000482367 
166 -0.227767 -0.140911 0 0.000186935 0.000482569 
