#tmm Radiation results with respect to radial wave number (tmm_study)
# 0 ratio[1] 
# 1 kr value[1]
# 2 Emission angle [deg]
# 3 Power flow back
#  Powerflow front
# ratio  kr  Emission_angle  Power_back  Power_front
0.795  0.0451769  0.918966  2.56248e-05  2.56071e-05
0.8  0.0454611  0.927252  2.47027e-05  2.46855e-05
0.805  0.0457452  0.935631  2.37875e-05  2.37707e-05
0.81  0.0460293  0.944106  2.28797e-05  2.28634e-05
0.815  0.0463135  0.952682  2.19796e-05  2.19637e-05
0.82  0.0465976  0.961362  2.10877e-05  2.10722e-05
0.825  0.0468817  0.970151  2.02042e-05  2.01893e-05
0.83  0.0471659  0.979055  1.93298e-05  1.93153e-05
0.835  0.04745  0.988078  1.84648e-05  1.84508e-05
0.84  0.0477341  0.997226  1.76097e-05  1.75961e-05
0.845  0.0480183  1.00651  1.67649e-05  1.67518e-05
0.85  0.0483024  1.01592  1.5931e-05  1.59183e-05
0.855  0.0485865  1.02549  1.51084e-05  1.50962e-05
0.86  0.0488706  1.0352  1.42978e-05  1.4286e-05
0.865  0.0491548  1.04508  1.34996e-05  1.34883e-05
0.87  0.0494389  1.05513  1.27144e-05  1.27036e-05
0.875  0.049723  1.06536  1.19429e-05  1.19325e-05
0.88  0.0500072  1.07578  1.11856e-05  1.11757e-05
0.885  0.0502913  1.08641  1.04433e-05  1.04339e-05
0.89  0.0505754  1.09725  9.71654e-06  9.70762e-06
0.895  0.0508596  1.10834  9.00619e-06  8.99774e-06
0.9  0.0511437  1.11967  8.31298e-06  8.30499e-06
0.905  0.0514278  1.13127  7.63771e-06  7.63019e-06
0.91  0.051712  1.14317  6.98125e-06  6.97421e-06
0.915  0.0519961  1.15538  6.34454e-06  6.33795e-06
0.92  0.0522802  1.16794  5.72854e-06  5.72242e-06
0.925  0.0525644  1.18089  5.13432e-06  5.12866e-06
0.93  0.0528485  1.19425  4.56301e-06  4.55781e-06
0.935  0.0531326  1.20808  4.01584e-06  4.0111e-06
0.94  0.0534168  1.22243  3.49414e-06  3.48986e-06
0.945  0.0537009  1.23737  2.99939e-06  2.99555e-06
0.95  0.053985  1.25298  2.53318e-06  2.52979e-06
0.955  0.0542691  1.26937  2.09732e-06  2.09437e-06
0.96  0.0545533  1.28666  1.69382e-06  1.69129e-06
0.965  0.0548374  1.30503  1.32496e-06  1.32285e-06
0.97  0.0551215  1.32472  9.9338e-07  9.91673e-07
0.975  0.0554057  1.34606  7.02152e-07  7.00833e-07
0.98  0.0556898  1.36956  4.54946e-07  4.53993e-07
0.985  0.0559739  1.39602  2.56216e-07  2.556e-07
0.99  0.0562581  1.42686  1.1142e-07  1.11095e-07
0.995  0.0565422  1.46475  2.66756e-08  2.65701e-08
