# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Internal_Source_ElectricField
# 3 Internal_Intensity
# x Internal_Source_ElectricField Internal_Intensity 
78 -0.101664 0.0567849 
79 -0.106155 0.0567849 
80 -0.1106 0.0567849 
81 -0.114996 0.0567849 
82 -0.119341 0.0567849 
83 -0.123634 0.0567849 
84 -0.127873 0.0567849 
85 -0.132056 0.0567849 
86 -0.13618 0.0567849 
87 -0.140245 0.0567849 
88 -0.144249 0.0567849 
89 -0.148189 0.0567849 
90 -0.152065 0.0567849 
91 -0.155873 0.0567849 
92 -0.159614 0.0567849 
93 -0.163284 0.0567849 
94 -0.166882 0.0567849 
95 -0.170408 0.0567849 
96 -0.173858 0.0567849 
97 -0.177233 0.0567849 
98 -0.180529 0.0567849 
99 -0.183747 0.0567849 
100 -0.185336 0.0567849 
100 -0.188432 0.0859099 
101 -0.189977 0.0859036 
102 -0.193099 0.0858817 
103 -0.196281 0.085846 
104 -0.199516 0.0858068 
105 -0.202796 0.0857751 
106 -0.206112 0.0857623 
107 -0.209454 0.0857803 
108 -0.212814 0.0858415 
109 -0.216181 0.0859588 
110 -0.219545 0.0861453 
111 -0.222896 0.0864149 
112 -0.226221 0.0867814 
113 -0.229509 0.0872593 
114 -0.232748 0.0878631 
115 -0.235926 0.0886077 
116 -0.23903 0.0895083 
117 -0.242046 0.0905801 
118 -0.244962 0.0918386 
119 -0.247762 0.0932993 
120 -0.249132 0.0940823 
120 -0.251735 0.171942 
121 -0.252797 0.173534 
122 -0.254509 0.176462 
123 -0.2554 0.178865 
124 -0.255465 0.18071 
125 -0.254705 0.181976 
126 -0.253121 0.182646 
127 -0.250719 0.182713 
128 -0.247506 0.182176 
129 -0.243492 0.181043 
130 -0.23869 0.179329 
131 -0.233115 0.177058 
132 -0.226786 0.174258 
133 -0.219721 0.170967 
134 -0.211944 0.167229 
135 -0.20348 0.163091 
136 -0.194355 0.158609 
137 -0.1846 0.15384 
138 -0.174245 0.148847 
139 -0.163324 0.143695 
140 -0.151872 0.138451 
141 -0.139926 0.133183 
142 -0.127523 0.127961 
143 -0.114705 0.122852 
144 -0.101513 0.117922 
145 -0.087988 0.113237 
146 -0.0741749 0.108857 
147 -0.0601179 0.10484 
148 -0.0458624 0.101237 
149 -0.0314543 0.0980968 
150 -0.0169403 0.0954599 
151 -0.00236709 0.0933611 
152 0.0122181 0.0918283 
153 0.0267683 0.0908818 
154 0.0412363 0.0905346 
155 0.0555755 0.0907919 
156 0.0697394 0.091651 
157 0.0836821 0.0931016 
158 0.0973587 0.0951257 
159 0.110725 0.0976977 
160 0.123737 0.100785 
161 0.136353 0.104349 
162 0.148533 0.108344 
163 0.160236 0.11272 
164 0.171425 0.11742 
165 0.182063 0.122384 
166 0.192116 0.12755 
167 0.201551 0.132851 
168 0.210338 0.138219 
169 0.218448 0.143587 
170 0.225854 0.148885 
171 0.232532 0.154045 
172 0.238461 0.159003 
173 0.243621 0.163694 
174 0.247996 0.168059 
175 0.25157 0.172042 
176 0.254332 0.175593 
177 0.256273 0.178666 
178 0.257387 0.181223 
179 0.257669 0.18323 
180 0.257119 0.184664 
181 0.255737 0.185506 
182 0.253529 0.185746 
183 0.2505 0.185381 
184 0.246661 0.184418 
185 0.242024 0.182868 
186 0.236603 0.180754 
187 0.230416 0.178102 
188 0.223483 0.174948 
189 0.215825 0.171334 
190 0.207467 0.167306 
191 0.198436 0.162917 
192 0.188761 0.158224 
193 0.178474 0.15329 
194 0.167606 0.148178 
195 0.156193 0.142954 
196 0.144272 0.137688 
197 0.131882 0.132447 
198 0.119061 0.1273 
199 0.105852 0.122314 
200 0.0922961 0.117554 
201 0.0784383 0.113083 
202 0.0643227 0.108958 
203 0.0499949 0.105234 
204 0.0355013 0.101959 
205 0.0208885 0.099177 
206 0.00620371 0.0969236 
207 -0.00850556 0.0952289 
208 -0.0231918 0.0941155 
209 -0.0378076 0.0935986 
210 -0.0523057 0.0936854 
211 -0.0666391 0.0943756 
212 -0.0807616 0.095661 
213 -0.0946273 0.0975258 
214 -0.108191 0.0999465 
215 -0.12141 0.102893 
216 -0.13424 0.106327 
217 -0.146641 0.110206 
218 -0.158571 0.11448 
219 -0.169993 0.119095 
220 -0.180868 0.123992 
221 -0.191163 0.129108 
222 -0.200842 0.134379 
223 -0.209876 0.139737 
224 -0.218234 0.145113 
225 -0.22589 0.150439 
226 -0.232817 0.155647 
227 -0.238995 0.16067 
228 -0.244402 0.165444 
229 -0.249021 0.169909 
230 -0.252836 0.174008 
231 -0.255836 0.177687 
232 -0.258009 0.180902 
233 -0.25935 0.18361 
234 -0.259853 0.185778 
235 -0.259516 0.187378 
236 -0.258341 0.188391 
237 -0.25633 0.188804 
