# tmm TMMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
758 0.000277 0.213878 0.785844
759 0.00029 0.244646 0.755062
760 0.000303 0.279048 0.720648
761 0.000314 0.31687 0.682814
762 0.000324 0.357617 0.642058
763 0.000332 0.400102 0.599565
764 0.000338 0.443974 0.555686
765 0.000342 0.488421 0.511236
766 0.000343 0.532129 0.467526
767 0.000343 0.573995 0.42566
768 0.000341 0.61346 0.386197
769 0.000338 0.650534 0.349127
770 0.000333 0.684597 0.315068
771 0.000328 0.715398 0.284272
772 0.000321 0.743364 0.256314
773 0.000315 0.768223 0.231461
774 0.000307 0.79021 0.209481
775 0.0003 0.809762 0.189937
776 0.000292 0.827034 0.172672
777 0.000285 0.842051 0.157662
778 0.000277 0.855198 0.144523
779 0.00027 0.866766 0.132962
780 0.000263 0.876757 0.122979
781 0.000257 0.885403 0.114339
782 0.00025 0.892896 0.106853
783 0.000244 0.899517 0.100237
784 0.000239 0.90524 0.09452
785 0.000233 0.910321 0.089444
786 0.000228 0.914726 0.085044
787 0.000223 0.918613 0.081163
788 0.000218 0.922029 0.077751
789 0.000214 0.924953 0.074831
790 0.00021 0.927576 0.072213
791 0.000206 0.929919 0.069873
792 0.000203 0.93198 0.067816
793 0.000199 0.933833 0.065966
794 0.000196 0.935495 0.064307
795 0.000193 0.936916 0.062889
796 0.00019 0.93821 0.061598
797 0.000188 0.939338 0.060472
798 0.000186 0.940347 0.059466
799 0.000183 0.941233 0.058582
800 0.000181 0.942069 0.057749
801 0.000179 0.942785 0.057034
802 0.000177 0.943399 0.056422
803 0.000176 0.943909 0.055914
804 0.000174 0.944418 0.055406
805 0.000173 0.944786 0.055039
806 0.000171 0.945146 0.054681
807 0.00017 0.945418 0.05441
808 0.000169 0.945698 0.054132
809 0.000168 0.945875 0.053956
810 0.000167 0.945981 0.05385
811 0.000166 0.946083 0.053749
812 0.000165 0.946127 0.053706
813 0.000165 0.946116 0.053718
814 0.000164 0.946047 0.053787
815 0.000164 0.94592 0.053914
816 0.000164 0.945766 0.054068
817 0.000164 0.94553 0.054304
818 0.000164 0.945249 0.054586
819 0.000164 0.944951 0.054884
820 0.000164 0.944603 0.055232
821 0.000164 0.944132 0.055702
822 0.000164 0.943678 0.056157
823 0.000165 0.943167 0.056667
824 0.000165 0.942574 0.057259
825 0.000166 0.941952 0.05788
826 0.000166 0.941331 0.058501
827 0.000167 0.940593 0.059239
828 0.000168 0.939841 0.059989
829 0.000169 0.939045 0.060785
830 0.00017 0.938147 0.061682
831 0.000171 0.937171 0.062657
832 0.000172 0.936154 0.063673
833 0.000173 0.935083 0.064743
834 0.000174 0.93396 0.065865
835 0.000175 0.932764 0.067059
836 0.000177 0.931535 0.068287
837 0.000178 0.930287 0.069534
838 0.000179 0.928925 0.070894
839 0.000181 0.92745 0.072367
840 0.000183 0.926005 0.073811
841 0.000184 0.924583 0.075232
842 0.000186 0.922991 0.076822
843 0.000187 0.92149 0.078321
844 0.000189 0.919847 0.079963
845 0.00019 0.918312 0.081496
846 0.000192 0.916722 0.083085
847 0.000193 0.91511 0.084695
848 0.000195 0.913578 0.086226
849 0.000196 0.912005 0.087797
850 0.000197 0.91045 0.089351
851 0.000198 0.909315 0.090485
852 0.000199 0.908153 0.091647
853 0.000199 0.90701 0.09279
854 0.0002 0.905857 0.093942
855 0.000201 0.904681 0.095117
856 0.000201 0.903512 0.096286
857 0.000202 0.902371 0.097426
858 0.000202 0.901222 0.098575
859 0.000203 0.900048 0.099748
860 0.000203 0.898813 0.100983
861 0.000204 0.897658 0.102137
862 0.000204 0.896534 0.10326
863 0.000204 0.895289 0.104505
864 0.000205 0.894202 0.105592
865 0.000205 0.892966 0.106827
866 0.000205 0.891874 0.107919
867 0.000206 0.890733 0.10906
868 0.000206 0.889558 0.110234
869 0.000206 0.888504 0.111289
870 0.000206 0.887387 0.112405
871 0.000206 0.886248 0.113544
872 0.000206 0.885179 0.114613
873 0.000206 0.88413 0.115662
874 0.000206 0.883117 0.116676
875 0.000206 0.882142 0.11765
876 0.000206 0.881132 0.118661
877 0.000206 0.880162 0.11963
878 0.000206 0.879181 0.120611
879 0.000206 0.878256 0.121537
880 0.000205 0.877399 0.122394
881 0.000205 0.876522 0.123272
882 0.000204 0.875623 0.124171
883 0.000204 0.874707 0.125087
884 0.000204 0.873922 0.125873
885 0.000203 0.873127 0.126669
886 0.000203 0.872348 0.127447
887 0.000202 0.871688 0.128109
888 0.000201 0.870956 0.128841
889 0.000201 0.870363 0.129435
890 0.0002 0.869747 0.130052
891 0.000199 0.869075 0.130724
892 0.000199 0.868564 0.131236
893 0.000198 0.868026 0.131775
894 0.000197 0.867459 0.132342
895 0.000196 0.866963 0.132839
896 0.000195 0.866529 0.133275
897 0.000194 0.866122 0.133682
898 0.000193 0.865739 0.134067
899 0.000192 0.865384 0.134422
900 0.000191 0.865057 0.134751
901 0.00019 0.86478 0.135028
902 0.000189 0.864533 0.135276
903 0.000189 0.864269 0.135541
904 0.000188 0.864059 0.135751
905 0.000187 0.86391 0.135901
906 0.000186 0.86371 0.136103
907 0.000185 0.863439 0.136374
908 0.000184 0.863302 0.136512
909 0.000183 0.863134 0.136681
910 0.000182 0.862914 0.136902
911 0.000181 0.862863 0.136954
912 0.000181 0.862669 0.137149
913 0.00018 0.862645 0.137174
914 0.000179 0.862484 0.137336
915 0.000178 0.862432 0.137389
916 0.000177 0.862372 0.13745
917 0.000176 0.86221 0.137612
918 0.000175 0.862167 0.137657
919 0.000174 0.862155 0.137669
920 0.000173 0.862098 0.137727
921 0.000173 0.862037 0.137789
922 0.000172 0.862002 0.137825
