# DOI:10.1039/C6TC02135B + experimental 
# | wavelength | n | k
571.5 2.22626 0
572 2.22502 0
572.5 2.22378 0
573 2.22249 0
573.5 2.22112 0
574 2.21996 0
574.5 2.21921 0
575 2.21848 0
575.5 2.21751 0
576 2.21723 0
576.5 2.21828 0
577 2.21913 0
577.5 2.21829 0
578 2.21662 0
578.5 2.21525 0
579 2.21411 0
579.5 2.21289 0
580 2.21162 0
580.5 2.21038 0
581 2.20916 0
581.5 2.20793 0
582 2.20669 0
582.5 2.20546 0
583 2.20425 0
583.5 2.20306 0
584 2.20181 0
584.5 2.2005 0
585 2.19939 0
585.5 2.19869 0
586 2.1982 0
586.5 2.19764 0
587 2.19701 0
587.5 2.19633 0
588 2.19552 0
588.5 2.19447 0
589 2.19311 0
589.5 2.19156 0
590 2.19069 0
590.5 2.19104 0
591 2.19121 0
591.5 2.18983 0
592 2.1876 0
592.5 2.18559 0
593 2.18399 0
593.5 2.18281 0
594 2.18196 0
594.5 2.18132 0
595 2.1808 0
595.5 2.1803 0
596 2.17964 0
596.5 2.17869 0
597 2.17757 0
597.5 2.17643 0
598 2.17524 0
598.5 2.17399 0
599 2.17291 0
599.5 2.17219 0
600 2.17164 0
600.5 2.17104 0
601 2.17047 0
601.5 2.16997 0
602 2.1693 0
602.5 2.16824 0
603 2.167 0
603.5 2.16583 0
604 2.16469 0
604.5 2.16351 0
605 2.1625 0
605.5 2.16186 0
606 2.16138 0
606.5 2.16085 0
607 2.16027 0
607.5 2.15971 0
608 2.15916 0
608.5 2.15862 0
609 2.15806 0
609.5 2.15749 0
610 2.15696 0
610.5 2.15644 0
611 2.15556 0
611.5 2.15403 0
612 2.15222 0
612.5 2.15054 0
613 2.14888 0
613.5 2.14714 0
614 2.1459 0
614.5 2.14567 0
615 2.1459 0
615.5 2.14596 0
616 2.1459 0
616.5 2.14588 0
617 2.1459 0
617.5 2.14592 0
618 2.1459 0
618.5 2.14583 0
619 2.1459 0
619.5 2.14615 0
620 2.1459 0
620.5 2.14458 0
621 2.14276 0
621.5 2.14112 0
622 2.13952 0
622.5 2.13776 0
623 2.13627 0
623.5 2.13544 0
624 2.13494 0
