# DOI:Calculated + 10.1002/adma.201703080 
# | wavelength | n | k
495.5 1.80711 0.04874
496 1.80592 0.04938
496.5 1.80479 0.05003
497 1.80369 0.05068
497.5 1.80263 0.05133
498 1.80163 0.05197
498.5 1.80063 0.05262
499 1.79965 0.05327
499.5 1.79871 0.05392
500 1.79777 0.05456
500.5 1.79682 0.05521
501 1.79589 0.05586
501.5 1.79495 0.05638
502 1.79398 0.05642
502.5 1.79301 0.05647
503 1.79202 0.05652
503.5 1.79098 0.05657
504 1.78993 0.05662
504.5 1.78884 0.05667
505 1.78772 0.05672
505.5 1.7866 0.05677
506 1.78544 0.05682
506.5 1.78425 0.05687
507 1.78305 0.05692
507.5 1.78182 0.05697
508 1.78057 0.05702
508.5 1.7793 0.05706
509 1.77802 0.05712
509.5 1.77672 0.05717
510 1.77541 0.05721
510.5 1.77408 0.05726
511 1.77276 0.05731
511.5 1.77144 0.05736
512 1.77012 0.05741
512.5 1.76881 0.05729
513 1.76751 0.0571
513.5 1.76624 0.0569
514 1.76495 0.0567
514.5 1.76371 0.05651
515 1.76249 0.05631
515.5 1.7613 0.05612
516 1.76012 0.05592
516.5 1.75898 0.05573
517 1.75788 0.05553
517.5 1.75682 0.05533
518 1.75578 0.05514
518.5 1.75482 0.05494
519 1.75386 0.05475
519.5 1.75297 0.05455
520 1.7521 0.05436
520.5 1.7513 0.05416
521 1.75054 0.05396
521.5 1.7498 0.05377
522 1.74912 0.05357
522.5 1.74849 0.05337
523 1.74788 0.05318
523.5 1.74732 0.05298
524 1.7468 0.05279
524.5 1.74632 0.05276
525 1.74584 0.05275
525.5 1.74542 0.05275
526 1.74502 0.05275
526.5 1.74462 0.05274
527 1.74425 0.05274
527.5 1.74391 0.05273
528 1.74357 0.05273
528.5 1.74326 0.05273
529 1.74293 0.05272
529.5 1.74262 0.05272
530 1.74231 0.05271
530.5 1.742 0.05271
531 1.74169 0.05271
531.5 1.74138 0.0527
532 1.74106 0.0527
532.5 1.74072 0.05269
533 1.74038 0.05269
533.5 1.74002 0.05269
534 1.73965 0.05268
