# DOI:10.1039/C6TC02135B + experimental 
# | wavelength | n | k
500.0 2.222900 0.220417
500.5 2.222905 0.221350
501.0 2.222900 0.222617
501.5 2.222892 0.223783
502.0 2.222900 0.224750
502.5 2.222925 0.225667
503.0 2.222900 0.226417
503.5 2.222807 0.227550
504.0 2.222900 0.228350
504.5 2.223407 0.229267
505.0 2.224169 0.230367
505.5 2.224972 0.231433
506.0 2.225772 0.232233
506.5 2.226569 0.232967
507.0 2.227365 0.233783
507.5 2.228160 0.234517
508.0 2.228955 0.235833
508.5 2.229747 0.237000
509.0 2.230537 0.238817
509.5 2.231324 0.240950
510.0 2.232114 0.242650
510.5 2.232910 0.244017
511.0 2.233710 0.244917
511.5 2.234513 0.246050
512.0 2.235322 0.247550
512.5 2.236134 0.250317
513.0 2.236927 0.252917
513.5 2.237696 0.254700
514.0 2.238525 0.256667
514.5 2.239499 0.258267
515.0 2.240624 0.259800
515.5 2.241946 0.261917
516.0 2.243747 0.263567
516.5 2.245957 0.265267
517.0 2.246866 0.266717
517.5 2.246060 0.267817
518.0 2.249963 0.269183
518.5 2.265161 0.269600
519.0 2.292051 0.270700
519.5 2.326850 0.271450
520.0 2.355246 0.272367
520.5 2.365600 0.272350
521.0 2.367485 0.270767
521.5 2.372570 0.269367
522.0 2.379678 0.267050
522.5 2.385603 0.265183
523.0 2.391860 0.262700
523.5 2.399786 0.258983
524.0 2.405285 0.253350
524.5 2.406296 0.247317
525.0 2.414344 0.240650
525.5 2.437546 0.233017
526.0 2.456801 0.225617
526.5 2.454502 0.217233
527.0 2.446239 0.207800
527.5 2.449533 0.197800
528.0 2.456440 0.187200
528.5 2.455973 0.175900
529.0 2.450443 0.164850
529.5 2.445200 0.153450
530.0 2.444446 0.141650
530.5 2.449807 0.130017
531.0 2.453755 0.118533
531.5 2.449438 0.108017
532.0 2.441863 0.098650
532.5 2.437297 0.090167
533.0 2.435200 0.082617
533.5 2.433682 0.074817
534.0 2.432281 0.067867
534.5 2.430937 0.061083
535.0 2.429787 0.054783
535.5 2.428959 0.049117
536.0 2.428348 0.043133
536.5 2.427765 0.038000
537.0 2.426908 0.033350
537.5 2.425465 0.029550
538.0 2.423188 0.026667
538.5 2.419939 0.023667
539.0 2.415966 0.020900
539.5 2.411580 0.017900
540.0 2.406960 0.015267
540.5 2.402180 0.013500
541.0 2.397028 0.011800
541.5 2.391111 0.010800
542.0 2.383582 0.009850
542.5 2.373756 0.009100
543.0 2.362029 0.008100
543.5 2.349686 0.007283
544.0 2.340475 0.006600
544.5 2.336982 0.005517
545.0 2.334680 0.005267
545.5 2.328978 0.004517
546.0 2.322126 0.004133
546.5 2.317157 0.004383
547.0 2.313380 0.004300
547.5 2.309773 0.004183
548.0 2.307726 0.004067
548.5 2.308339 0.003567
549.0 2.309148 0.003600
549.5 2.307681 0.004033
550.0 2.305008 0.004083
550.5 2.302710 0.003717
551.0 2.300869 0.003167
551.5 2.299241 0.002467
552.0 2.297781 0.001817
552.5 2.296451 0.001547
553.0 2.295059 0.001231
553.5 2.293328 0.001557
554.0 2.290809 0.001933
554.5 2.287160 0.001933
555.0 2.282634 0.001833
555.5 2.277870 0.000958
556.0 2.274459 0.000307
556.5 2.273499 0.000103
557.0 2.273157 0.000400
557.5 2.271497 0.000547
558.0 2.269086 0.000394
558.5 2.266850 0.000119
559.0 2.264640 0.000000
559.5 2.262133 0.000000
560.0 2.259380 0.000000
560.5 2.256576 0.000000
561.0 2.254120 0.000000
561.5 2.252324 0.000000
562.0 2.250933 0.000000
562.5 2.249618 0.000000
563.0 2.248307 0.000000
563.5 2.247033 0.000000
564.0 2.245986 0.000000
564.5 2.245292 0.000000
565.0 2.244652 0.000000
565.5 2.243838 0.000000
566.0 2.243318 0.000000
566.5 2.243371 0.000000
567.0 2.242833 0.000000
567.5 2.240640 0.000000
568.0 2.237585 0.000000
568.5 2.234759 0.000000
569.0 2.232578 0.000000
569.5 2.231155 0.000000
570.0 2.230061 0.000000
570.5 2.228849 0.000000
571.0 2.227544 0.000000
571.5 2.226264 0.000000
572.0 2.225020 0.000000
572.5 2.223785 0.000000
573.0 2.222488 0.000000
573.5 2.221118 0.000000
574.0 2.219957 0.000000
574.5 2.219207 0.000000
575.0 2.218477 0.000000
575.5 2.217514 0.000000
576.0 2.217229 0.000000
576.5 2.218277 0.000000
577.0 2.219127 0.000000
577.5 2.218289 0.000000
578.0 2.216617 0.000000
578.5 2.215249 0.000000
579.0 2.214107 0.000000
579.5 2.212889 0.000000
580.0 2.211619 0.000000
580.5 2.210378 0.000000
581.0 2.209157 0.000000
581.5 2.207929 0.000000
582.0 2.206695 0.000000
582.5 2.205463 0.000000
583.0 2.204250 0.000000
583.5 2.203056 0.000000
584.0 2.201811 0.000000
584.5 2.200500 0.000000
585.0 2.199386 0.000000
585.5 2.198691 0.000000
586.0 2.198196 0.000000
586.5 2.197637 0.000000
587.0 2.197006 0.000000
587.5 2.196332 0.000000
588.0 2.195523 0.000000
588.5 2.194469 0.000000
589.0 2.193105 0.000000
589.5 2.191558 0.000000
590.0 2.190687 0.000000
590.5 2.191042 0.000000
591.0 2.191214 0.000000
591.5 2.189826 0.000000
592.0 2.187603 0.000000
592.5 2.185586 0.000000
593.0 2.183993 0.000000
593.5 2.182814 0.000000
594.0 2.181958 0.000000
594.5 2.181317 0.000000
595.0 2.180801 0.000000
595.5 2.180304 0.000000
596.0 2.179644 0.000000
596.5 2.178688 0.000000
597.0 2.177565 0.000000
597.5 2.176425 0.000000
598.0 2.175239 0.000000
598.5 2.173993 0.000000
599.0 2.172913 0.000000
599.5 2.172190 0.000000
600.0 2.171638 0.000000
600.5 2.171043 0.000000
601.0 2.170469 0.000000
601.5 2.169972 0.000000
602.0 2.169300 0.000000
602.5 2.168235 0.000000
603.0 2.166996 0.000000
603.5 2.165833 0.000000
604.0 2.164691 0.000000
604.5 2.163506 0.000000
605.0 2.162497 0.000000
605.5 2.161855 0.000000
606.0 2.161384 0.000000
606.5 2.160851 0.000000
607.0 2.160271 0.000000
607.5 2.159707 0.000000
608.0 2.159160 0.000000
608.5 2.158615 0.000000
609.0 2.158058 0.000000
609.5 2.157488 0.000000
610.0 2.156956 0.000000
610.5 2.156437 0.000000
611.0 2.155558 0.000000
611.5 2.154026 0.000000
612.0 2.152218 0.000000
612.5 2.150543 0.000000
613.0 2.148878 0.000000
613.5 2.147135 0.000000
614.0 2.145900 0.000000
614.5 2.145669 0.000000
615.0 2.145900 0.000000
615.5 2.145963 0.000000
616.0 2.145900 0.000000
616.5 2.145879 0.000000
617.0 2.145900 0.000000
617.5 2.145922 0.000000
618.0 2.145900 0.000000
618.5 2.145832 0.000000
619.0 2.145900 0.000000
619.5 2.146150 0.000000
620.0 2.145900 0.000000
620.5 2.144576 0.000000
621.0 2.142759 0.000000
621.5 2.141119 0.000000
622.0 2.139517 0.000000
622.5 2.137765 0.000000
623.0 2.136275 0.000000
623.5 2.135438 0.000000
624.0 2.134944 0.000000
624.5 2.134412 0.000000
625.0 2.133864 0.000000
625.5 2.133372 0.000000
626.0 2.132784 0.000000
626.5 2.131954 0.000000
627.0 2.130969 0.000000
627.5 2.129945 0.000000
628.0 2.128893 0.000000
628.5 2.127818 0.000000
629.0 2.126817 0.000000
629.5 2.125983 0.000000
630.0 2.125309 0.000000
630.5 2.124756 0.000000
631.0 2.124250 0.000000
631.5 2.123726 0.000000
632.0 2.123191 0.000000
632.5 2.122663 0.000000
633.0 2.122144 0.000000
633.5 2.121629 0.000000
634.0 2.121116 0.000000
634.5 2.120603 0.000000
635.0 2.120089 0.000000
635.5 2.119575 0.000000
636.0 2.119060 0.000000
636.5 2.118541 0.000000
637.0 2.118022 0.000000
637.5 2.117504 0.000000
638.0 2.116985 0.000000
638.5 2.116464 0.000000
639.0 2.115948 0.000000
639.5 2.115443 0.000000
640.0 2.114945 0.000000
640.5 2.114447 0.000000
641.0 2.113949 0.000000
641.5 2.113451 0.000000
642.0 2.112952 0.000000
642.5 2.112450 0.000000
643.0 2.111945 0.000000
643.5 2.111438 0.000000
644.0 2.110929 0.000000
644.5 2.110421 0.000000
645.0 2.109913 0.000000
645.5 2.109407 0.000000
646.0 2.108904 0.000000
646.5 2.108409 0.000000
647.0 2.107928 0.000000
647.5 2.107457 0.000000
648.0 2.106952 0.000000
648.5 2.106404 0.000000
649.0 2.105976 0.000000
649.5 2.105812 0.000000
650.0 2.105800 0.000000
650.5 2.105798 0.000000
651.0 2.105800 0.000000
651.5 2.105818 0.000000
652.0 2.105800 0.000000
652.5 2.105681 0.000000
653.0 2.105403 0.000000
653.5 2.104944 0.000000
654.0 2.104419 0.000000
654.5 2.103936 0.000000
655.0 2.103434 0.000000
