# DOI:10.1080/14686996.2018.1530050 + 10.1002/aenm.201702854 
# | wavelength | n | k
510.0 1.266160 0.082151
510.5 1.265767 0.082387
511.0 1.265361 0.082623
511.5 1.264934 0.082859
512.0 1.264481 0.083095
512.5 1.264012 0.083330
513.0 1.263536 0.083566
513.5 1.263062 0.083802
514.0 1.262600 0.084038
514.5 1.262160 0.084274
515.0 1.261751 0.084510
515.5 1.261382 0.084746
516.0 1.261063 0.084981
516.5 1.260805 0.085217
517.0 1.260615 0.085453
517.5 1.260504 0.085689
518.0 1.260482 0.085925
518.5 1.260556 0.086187
519.0 1.260725 0.086476
519.5 1.260986 0.086764
520.0 1.261335 0.087052
520.5 1.261768 0.087340
521.0 1.262283 0.087628
521.5 1.262875 0.087916
522.0 1.263542 0.088204
522.5 1.264279 0.088492
523.0 1.265083 0.088781
523.5 1.265950 0.089069
524.0 1.266878 0.089357
524.5 1.267862 0.089645
525.0 1.268898 0.089933
525.5 1.269985 0.090221
526.0 1.271117 0.090509
526.5 1.272291 0.090797
527.0 1.273505 0.091086
527.5 1.274753 0.091374
528.0 1.276036 0.091804
528.5 1.277353 0.092248
529.0 1.278705 0.092692
529.5 1.280091 0.093136
530.0 1.281513 0.093580
530.5 1.282971 0.094024
531.0 1.284465 0.094468
531.5 1.285995 0.094913
532.0 1.287563 0.095357
532.5 1.289168 0.095801
533.0 1.290810 0.096245
533.5 1.292491 0.096689
534.0 1.294210 0.097133
534.5 1.295967 0.097578
535.0 1.297758 0.098022
535.5 1.299578 0.098466
536.0 1.301424 0.098920
536.5 1.303292 0.099420
537.0 1.305177 0.099920
537.5 1.307076 0.100419
538.0 1.308984 0.100919
538.5 1.310898 0.101419
539.0 1.312813 0.101919
539.5 1.314725 0.102419
540.0 1.316631 0.102918
540.5 1.318525 0.103418
541.0 1.320405 0.103918
541.5 1.322266 0.104418
542.0 1.324104 0.104918
542.5 1.325916 0.105417
543.0 1.327706 0.105917
543.5 1.329477 0.106446
544.0 1.331234 0.107038
544.5 1.332980 0.107630
545.0 1.334719 0.108223
545.5 1.336456 0.108815
546.0 1.338194 0.109407
546.5 1.339938 0.109999
547.0 1.341691 0.110591
547.5 1.343458 0.111184
548.0 1.345243 0.111776
548.5 1.347049 0.112368
549.0 1.348881 0.112986
549.5 1.350743 0.113727
550.0 1.352639 0.114469
550.5 1.354572 0.115211
551.0 1.356547 0.115953
551.5 1.358568 0.116694
552.0 1.360639 0.117436
552.5 1.362762 0.118178
553.0 1.364936 0.118920
553.5 1.367158 0.119661
554.0 1.369425 0.120403
554.5 1.371735 0.121151
555.0 1.374086 0.122074
555.5 1.376474 0.122997
556.0 1.378898 0.123920
556.5 1.381355 0.124843
557.0 1.383843 0.125766
557.5 1.386358 0.126689
558.0 1.388899 0.127612
558.5 1.391463 0.128535
559.0 1.394047 0.129458
559.5 1.396649 0.130382
560.0 1.399267 0.131305
560.5 1.401897 0.132288
561.0 1.404538 0.133277
561.5 1.407187 0.134267
562.0 1.409841 0.135256
562.5 1.412500 0.136246
563.0 1.415162 0.137235
563.5 1.417828 0.138262
564.0 1.420496 0.139342
564.5 1.423166 0.140421
565.0 1.425837 0.141500
565.5 1.428508 0.142580
566.0 1.431178 0.143659
566.5 1.433847 0.144738
567.0 1.436514 0.145818
567.5 1.439179 0.146897
568.0 1.441840 0.147972
568.5 1.444497 0.149021
569.0 1.447149 0.150070
569.5 1.449795 0.151119
570.0 1.452435 0.152168
570.5 1.455067 0.153217
571.0 1.457692 0.154266
571.5 1.460309 0.155315
572.0 1.462916 0.156364
572.5 1.465513 0.157075
573.0 1.468099 0.157708
