# DOI:Calculated from 10.1116/1.5121604 
# | wavelength | n | k
516.5 3.076812 0.240455
517.0 3.075952 0.237416
517.5 3.075068 0.234383
518.0 3.074151 0.231348
518.5 3.073197 0.228313
519.0 3.072214 0.225277
519.5 3.071207 0.222245
520.0 3.070179 0.219209
520.5 3.069131 0.216185
521.0 3.068121 0.213752
521.5 3.067102 0.211319
522.0 3.066073 0.208879
522.5 3.065038 0.206441
523.0 3.063999 0.204000
523.5 3.062958 0.201559
524.0 3.061908 0.199115
524.5 3.060840 0.196673
525.0 3.059753 0.194232
525.5 3.058640 0.191791
526.0 3.057509 0.189351
526.5 3.056350 0.186869
527.0 3.055156 0.184155
527.5 3.053948 0.181438
528.0 3.052723 0.178717
528.5 3.051486 0.175996
529.0 3.050228 0.173272
529.5 3.048938 0.170547
530.0 3.047603 0.167825
530.5 3.046222 0.165099
531.0 3.044808 0.162824
531.5 3.043349 0.160759
532.0 3.041823 0.158695
532.5 3.040227 0.156635
533.0 3.038555 0.154574
533.5 3.036798 0.152521
534.0 3.034963 0.150468
534.5 3.033063 0.148417
535.0 3.031136 0.146365
535.5 3.029204 0.144312
536.0 3.027301 0.142257
536.5 3.025445 0.140196
537.0 3.023668 0.138207
537.5 3.022006 0.136753
538.0 3.020451 0.135294
538.5 3.018990 0.133830
539.0 3.017597 0.132359
539.5 3.016249 0.130886
540.0 3.014933 0.129410
540.5 3.013617 0.127941
541.0 3.012288 0.126575
541.5 3.010915 0.125214
542.0 3.009484 0.123852
542.5 3.007969 0.122495
543.0 3.006363 0.121139
543.5 3.004668 0.119785
544.0 3.002897 0.118436
544.5 3.001059 0.117130
545.0 2.999165 0.115851
545.5 2.997226 0.114569
546.0 2.995251 0.113289
546.5 2.993252 0.112006
547.0 2.991238 0.110724
547.5 2.989210 0.109438
548.0 2.987178 0.108150
548.5 2.985151 0.106864
549.0 2.983131 0.105572
549.5 2.981123 0.104278
550.0 2.979141 0.102981
550.5 2.977186 0.101681
551.0 2.975267 0.100426
551.5 2.973391 0.099180
552.0 2.971565 0.097928
552.5 2.969786 0.096676
553.0 2.968052 0.095421
553.5 2.966373 0.094442
554.0 2.964736 0.093472
554.5 2.963134 0.092498
555.0 2.961568 0.091521
555.5 2.960027 0.090545
556.0 2.958516 0.089565
556.5 2.957025 0.088583
557.0 2.955557 0.087596
557.5 2.954102 0.086611
558.0 2.952658 0.085625
558.5 2.951228 0.084638
559.0 2.949798 0.083650
559.5 2.948373 0.082658
560.0 2.946947 0.081669
560.5 2.945516 0.080675
561.0 2.944078 0.079685
561.5 2.942631 0.078690
562.0 2.941180 0.077846
562.5 2.939715 0.077092
563.0 2.938240 0.076352
563.5 2.936743 0.075614
564.0 2.935230 0.074873
564.5 2.933695 0.074137
565.0 2.932137 0.073397
565.5 2.930555 0.072657
566.0 2.928945 0.071917
566.5 2.927305 0.071179
567.0 2.925631 0.070440
567.5 2.923929 0.069702
568.0 2.922188 0.068964
568.5 2.920408 0.068224
569.0 2.918592 0.067488
569.5 2.916734 0.066750
570.0 2.914838 0.066014
570.5 2.912918 0.065276
571.0 2.910977 0.064538
571.5 2.909021 0.063800
572.0 2.907053 0.063062
572.5 2.905085 0.062463
573.0 2.903126 0.061945
573.5 2.901170 0.061426
574.0 2.899231 0.060906
574.5 2.897311 0.060386
575.0 2.895418 0.059865
575.5 2.893557 0.059342
576.0 2.891736 0.058818
576.5 2.889956 0.058292
577.0 2.888224 0.057761
577.5 2.886548 0.057232
578.0 2.884924 0.056701
578.5 2.883343 0.056166
579.0 2.881807 0.055632
579.5 2.880314 0.055093
580.0 2.878856 0.054557
580.5 2.877436 0.054016
581.0 2.876050 0.053572
581.5 2.874700 0.053291
582.0 2.873373 0.053012
582.5 2.872074 0.052730
583.0 2.870794 0.052447
583.5 2.869533 0.052163
584.0 2.868287 0.051883
584.5 2.867055 0.051598
585.0 2.865829 0.051313
585.5 2.864613 0.051064
586.0 2.863404 0.050821
586.5 2.862193 0.050582
587.0 2.860986 0.050343
587.5 2.859776 0.050103
588.0 2.858560 0.049863
588.5 2.857339 0.049619
589.0 2.856109 0.049380
589.5 2.854870 0.049140
590.0 2.853615 0.048897
590.5 2.852346 0.048657
591.0 2.851061 0.048418
591.5 2.849754 0.048179
592.0 2.848432 0.047941
592.5 2.847095 0.047787
593.0 2.845743 0.047630
593.5 2.844374 0.047476
594.0 2.842996 0.047322
594.5 2.841602 0.047165
595.0 2.840202 0.047008
595.5 2.838791 0.046855
596.0 2.837373 0.046702
596.5 2.835946 0.046599
597.0 2.834517 0.046509
597.5 2.833081 0.046416
598.0 2.831642 0.046327
598.5 2.830202 0.046237
599.0 2.828760 0.046144
599.5 2.827320 0.046054
600.0 2.825878 0.045961
600.5 2.824442 0.045871
601.0 2.823007 0.045778
601.5 2.821578 0.045688
602.0 2.820156 0.045594
602.5 2.818742 0.045504
603.0 2.817335 0.045410
603.5 2.815939 0.045406
604.0 2.814551 0.045399
604.5 2.813179 0.045395
605.0 2.811817 0.045387
605.5 2.810469 0.045383
606.0 2.809137 0.045375
606.5 2.807816 0.045367
607.0 2.806507 0.045363
607.5 2.805211 0.045354
608.0 2.803928 0.045346
608.5 2.802656 0.045341
609.0 2.801396 0.045332
609.5 2.800148 0.045323
610.0 2.798914 0.045298
610.5 2.797687 0.045275
611.0 2.796475 0.045249
611.5 2.795273 0.045226
612.0 2.794081 0.045200
612.5 2.792902 0.045174
613.0 2.791728 0.045151
613.5 2.790565 0.045124
614.0 2.789413 0.045097
614.5 2.788265 0.045074
615.0 2.787126 0.045047
615.5 2.785991 0.045020
616.0 2.784867 0.044994
616.5 2.783748 0.044970
617.0 2.782633 0.044943
617.5 2.781527 0.044916
618.0 2.780428 0.044888
618.5 2.779334 0.044861
619.0 2.778246 0.044834
619.5 2.777166 0.044809
620.0 2.776088 0.044782
620.5 2.775019 0.044754
621.0 2.773955 0.044726
621.5 2.772897 0.044698
622.0 2.771845 0.044670
622.5 2.770799 0.044642
623.0 2.769759 0.044614
623.5 2.768723 0.044588
624.0 2.767692 0.044566
624.5 2.766668 0.044551
625.0 2.765651 0.044536
625.5 2.764637 0.044521
626.0 2.763627 0.044508
626.5 2.762624 0.044492
627.0 2.761628 0.044476
627.5 2.760636 0.044459
628.0 2.759652 0.044443
628.5 2.758675 0.044427
629.0 2.757704 0.044410
