# DOI:10.1039/C6TC02135B + experimental 
# | wavelength | n | k
525.5 2.122566 0.000000
526.0 2.122001 0.000000
526.5 2.121529 0.000000
527.0 2.121056 0.000000
527.5 2.120362 0.000000
528.0 2.119668 0.000000
528.5 2.117693 0.000000
529.0 2.115719 0.000000
529.5 2.114050 0.000000
530.0 2.112380 0.000000
530.5 2.111393 0.000000
531.0 2.110405 0.000000
531.5 2.109417 0.000000
532.0 2.108429 0.000000
532.5 2.107438 0.000000
533.0 2.106447 0.000000
533.5 2.105454 0.000000
534.0 2.104461 0.000000
534.5 2.103569 0.000000
535.0 2.102678 0.000000
535.5 2.102097 0.000000
536.0 2.101516 0.000000
536.5 2.101300 0.000000
537.0 2.101085 0.000000
537.5 2.101307 0.000000
538.0 2.101529 0.000000
538.5 2.100544 0.000000
539.0 2.099559 0.000000
539.5 2.098577 0.000000
540.0 2.097594 0.000000
540.5 2.096620 0.000000
541.0 2.095645 0.000000
541.5 2.094678 0.000000
542.0 2.093711 0.000000
542.5 2.092745 0.000000
543.0 2.091780 0.000000
543.5 2.090820 0.000000
544.0 2.089859 0.000000
544.5 2.088902 0.000000
545.0 2.087945 0.000000
545.5 2.087110 0.000000
546.0 2.086276 0.000000
546.5 2.085780 0.000000
547.0 2.085283 0.000000
547.5 2.084758 0.000000
548.0 2.084233 0.000000
548.5 2.083538 0.000000
549.0 2.082843 0.000000
549.5 2.081892 0.000000
550.0 2.080942 0.000000
550.5 2.080274 0.000000
551.0 2.079607 0.000000
551.5 2.079350 0.000000
552.0 2.079093 0.000000
552.5 2.077703 0.000000
553.0 2.076313 0.000000
553.5 2.075075 0.000000
554.0 2.073837 0.000000
554.5 2.073115 0.000000
555.0 2.072393 0.000000
555.5 2.071911 0.000000
556.0 2.071430 0.000000
556.5 2.070863 0.000000
557.0 2.070295 0.000000
557.5 2.069452 0.000000
558.0 2.068609 0.000000
558.5 2.067698 0.000000
559.0 2.066788 0.000000
559.5 2.065978 0.000000
560.0 2.065169 0.000000
560.5 2.064658 0.000000
561.0 2.064146 0.000000
561.5 2.063664 0.000000
562.0 2.063181 0.000000
562.5 2.062590 0.000000
563.0 2.061998 0.000000
563.5 2.061095 0.000000
564.0 2.060193 0.000000
564.5 2.059301 0.000000
565.0 2.058409 0.000000
565.5 2.057651 0.000000
566.0 2.056893 0.000000
566.5 2.056431 0.000000
567.0 2.055970 0.000000
567.5 2.055509 0.000000
568.0 2.055047 0.000000
568.5 2.054587 0.000000
569.0 2.054126 0.000000
569.5 2.053669 0.000000
570.0 2.053211 0.000000
570.5 2.052725 0.000000
571.0 2.052239 0.000000
571.5 2.051485 0.000000
572.0 2.050731 0.000000
572.5 2.049445 0.000000
573.0 2.048159 0.000000
573.5 2.046908 0.000000
574.0 2.045657 0.000000
574.5 2.044792 0.000000
575.0 2.043927 0.000000
575.5 2.043877 0.000000
576.0 2.043827 0.000000
576.5 2.043777 0.000000
577.0 2.043727 0.000000
577.5 2.043677 0.000000
578.0 2.043627 0.000000
578.5 2.043577 0.000000
579.0 2.043527 0.000000
579.5 2.043477 0.000000
580.0 2.043427 0.000000
580.5 2.043075 0.000000
581.0 2.042723 0.000000
581.5 2.041501 0.000000
582.0 2.040279 0.000000
582.5 2.039029 0.000000
583.0 2.037780 0.000000
583.5 2.036714 0.000000
584.0 2.035649 0.000000
584.5 2.035131 0.000000
585.0 2.034613 0.000000
585.5 2.034166 0.000000
586.0 2.033719 0.000000
586.5 2.033212 0.000000
587.0 2.032704 0.000000
587.5 2.031975 0.000000
588.0 2.031245 0.000000
588.5 2.030444 0.000000
589.0 2.029642 0.000000
589.5 2.028895 0.000000
590.0 2.028149 0.000000
590.5 2.027602 0.000000
591.0 2.027055 0.000000
591.5 2.026636 0.000000
592.0 2.026217 0.000000
592.5 2.025801 0.000000
593.0 2.025385 0.000000
593.5 2.024974 0.000000
594.0 2.024563 0.000000
594.5 2.024158 0.000000
595.0 2.023752 0.000000
595.5 2.023346 0.000000
596.0 2.022941 0.000000
596.5 2.022534 0.000000
597.0 2.022127 0.000000
597.5 2.021718 0.000000
598.0 2.021309 0.000000
598.5 2.020900 0.000000
599.0 2.020491 0.000000
599.5 2.020085 0.000000
600.0 2.019679 0.000000
600.5 2.019284 0.000000
601.0 2.018888 0.000000
601.5 2.018494 0.000000
602.0 2.018100 0.000000
602.5 2.017704 0.000000
603.0 2.017309 0.000000
603.5 2.016910 0.000000
604.0 2.016512 0.000000
604.5 2.016110 0.000000
605.0 2.015709 0.000000
605.5 2.015309 0.000000
606.0 2.014908 0.000000
606.5 2.014513 0.000000
607.0 2.014117 0.000000
607.5 2.013731 0.000000
608.0 2.013344 0.000000
608.5 2.012957 0.000000
609.0 2.012571 0.000000
609.5 2.012262 0.000000
610.0 2.011952 0.000000
610.5 2.011878 0.000000
611.0 2.011805 0.000000
611.5 2.011779 0.000000
612.0 2.011754 0.000000
612.5 2.011690 0.000000
613.0 2.011627 0.000000
613.5 2.011398 0.000000
614.0 2.011170 0.000000
614.5 2.010781 0.000000
615.0 2.010391 0.000000
615.5 2.010001 0.000000
616.0 2.009611 0.000000
616.5 2.009311 0.000000
617.0 2.009012 0.000000
617.5 2.008973 0.000000
618.0 2.008934 0.000000
618.5 2.008908 0.000000
619.0 2.008883 0.000000
619.5 2.008816 0.000000
620.0 2.008749 0.000000
620.5 2.008513 0.000000
621.0 2.008278 0.000000
621.5 2.007903 0.000000
622.0 2.007527 0.000000
622.5 2.007153 0.000000
623.0 2.006778 0.000000
623.5 2.006317 0.000000
624.0 2.005857 0.000000
624.5 2.005151 0.000000
625.0 2.004444 0.000000
625.5 2.003730 0.000000
626.0 2.003016 0.000000
626.5 2.002336 0.000000
627.0 2.001655 0.000000
627.5 2.001125 0.000000
628.0 2.000596 0.000000
628.5 2.000228 0.000000
629.0 1.999861 0.000000
629.5 1.999494 0.000000
630.0 1.999126 0.000000
630.5 1.998759 0.000000
631.0 1.998391 0.000000
631.5 1.998023 0.000000
632.0 1.997656 0.000000
632.5 1.997289 0.000000
633.0 1.996921 0.000000
633.5 1.996565 0.000000
634.0 1.996209 0.000000
634.5 1.995962 0.000000
635.0 1.995715 0.000000
635.5 1.995690 0.000000
636.0 1.995664 0.000000
636.5 1.995639 0.000000
637.0 1.995614 0.000000
637.5 1.995548 0.000000
638.0 1.995481 0.000000
638.5 1.995252 0.000000
639.0 1.995023 0.000000
639.5 1.994667 0.000000
640.0 1.994310 0.000000
640.5 1.993953 0.000000
641.0 1.993596 0.000000
641.5 1.993172 0.000000
642.0 1.992748 0.000000
642.5 1.992114 0.000000
643.0 1.991480 0.000000
643.5 1.990795 0.000000
644.0 1.990111 0.000000
644.5 1.989432 0.000000
645.0 1.988754 0.000000
645.5 1.988256 0.000000
646.0 1.987758 0.000000
646.5 1.987733 0.000000
647.0 1.987708 0.000000
647.5 1.987683 0.000000
648.0 1.987657 0.000000
648.5 1.987613 0.000000
649.0 1.987568 0.000000
649.5 1.987403 0.000000
650.0 1.987238 0.000000
650.5 1.986886 0.000000
651.0 1.986534 0.000000
651.5 1.986182 0.000000
652.0 1.985829 0.000000
652.5 1.985478 0.000000
653.0 1.985127 0.000000
653.5 1.984782 0.000000
654.0 1.984437 0.000000
654.5 1.984098 0.000000
655.0 1.983759 0.000000
655.5 1.983420 0.000000
656.0 1.983080 0.000000
656.5 1.982781 0.000000
657.0 1.982481 0.000000
657.5 1.982337 0.000000
658.0 1.982193 0.000000
658.5 1.982168 0.000000
659.0 1.982143 0.000000
659.5 1.982117 0.000000
660.0 1.982092 0.000000
660.5 1.982067 0.000000
661.0 1.982042 0.000000
661.5 1.982017 0.000000
662.0 1.981991 0.000000
662.5 1.981966 0.000000
663.0 1.981940 0.000000
663.5 1.981915 0.000000
664.0 1.981890 0.000000
664.5 1.981818 0.000000
665.0 1.981745 0.000000
665.5 1.981504 0.000000
666.0 1.981262 0.000000
666.5 1.980921 0.000000
667.0 1.980579 0.000000
667.5 1.980238 0.000000
668.0 1.979897 0.000000
668.5 1.979558 0.000000
669.0 1.979220 0.000000
669.5 1.978890 0.000000
670.0 1.978560 0.000000
670.5 1.978235 0.000000
671.0 1.977910 0.000000
671.5 1.977585 0.000000
672.0 1.977259 0.000000
672.5 1.976934 0.000000
673.0 1.976609 0.000000
673.5 1.976286 0.000000
674.0 1.975963 0.000000
674.5 1.975642 0.000000
675.0 1.975320 0.000000
675.5 1.975000 0.000000
676.0 1.974679 0.000000
