# DOI:10.1002/adom.202000319 + 10.1002/aenm.201702854 
# | wavelength | n | k
456.5 1.557980 0.100444
457.0 1.557639 0.100652
457.5 1.557299 0.100860
458.0 1.556959 0.101068
458.5 1.556620 0.101276
459.0 1.556281 0.101484
459.5 1.555940 0.101692
460.0 1.555597 0.101900
460.5 1.555252 0.102108
461.0 1.554903 0.102316
461.5 1.554550 0.102524
462.0 1.554193 0.102732
462.5 1.553831 0.102973
463.0 1.553462 0.103256
463.5 1.553087 0.103540
464.0 1.552704 0.103824
464.5 1.552314 0.104107
465.0 1.551915 0.104391
465.5 1.551506 0.104675
466.0 1.551087 0.104958
466.5 1.550658 0.105242
467.0 1.550217 0.105525
467.5 1.549764 0.105809
468.0 1.549298 0.106093
468.5 1.548819 0.106374
469.0 1.548327 0.106650
469.5 1.547823 0.106927
470.0 1.547307 0.107203
470.5 1.546782 0.107480
471.0 1.546249 0.107756
471.5 1.545709 0.108032
472.0 1.545163 0.108309
472.5 1.544613 0.108585
473.0 1.544059 0.108862
473.5 1.543503 0.109138
474.0 1.542946 0.109415
474.5 1.542389 0.109691
475.0 1.541835 0.109990
475.5 1.541283 0.110338
476.0 1.540736 0.110686
476.5 1.540193 0.111034
477.0 1.539658 0.111381
477.5 1.539130 0.111729
478.0 1.538612 0.112077
478.5 1.538104 0.112425
479.0 1.537605 0.112773
479.5 1.537116 0.113121
480.0 1.536634 0.113469
480.5 1.536159 0.113817
481.0 1.535689 0.114165
481.5 1.535225 0.114512
482.0 1.534764 0.114860
482.5 1.534306 0.115208
483.0 1.533851 0.115556
483.5 1.533396 0.115904
484.0 1.532941 0.116252
484.5 1.532486 0.116752
485.0 1.532028 0.117312
485.5 1.531568 0.117872
486.0 1.531104 0.118432
486.5 1.530635 0.118992
487.0 1.530162 0.119552
487.5 1.529688 0.120112
488.0 1.529217 0.120671
488.5 1.528754 0.121231
489.0 1.528302 0.121796
489.5 1.527865 0.122368
490.0 1.527448 0.122939
490.5 1.527054 0.123510
491.0 1.526687 0.124082
491.5 1.526353 0.124653
492.0 1.526054 0.125224
492.5 1.525794 0.125796
493.0 1.525579 0.126367
493.5 1.525411 0.126938
494.0 1.525295 0.127510
494.5 1.525235 0.128081
495.0 1.525235 0.128653
495.5 1.525298 0.129224
496.0 1.525430 0.129795
496.5 1.525634 0.130480
497.0 1.525908 0.131249
497.5 1.526248 0.132019
498.0 1.526650 0.132788
498.5 1.527109 0.133557
499.0 1.527622 0.134327
499.5 1.528184 0.135096
500.0 1.528790 0.135863
500.5 1.529436 0.136611
501.0 1.530118 0.137360
501.5 1.530832 0.138108
502.0 1.531573 0.138857
502.5 1.532336 0.139605
503.0 1.533118 0.140354
503.5 1.533915 0.141102
504.0 1.534731 0.141851
504.5 1.535572 0.142599
505.0 1.536446 0.143348
505.5 1.537362 0.144096
506.0 1.538325 0.144845
506.5 1.539345 0.145593
507.0 1.540427 0.146341
507.5 1.541580 0.147090
508.0 1.542812 0.147838
508.5 1.544128 0.148587
509.0 1.545538 0.149335
509.5 1.547049 0.150208
