# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# 5 Transmission
# 6 Reflection
# 7 Absorption
# x GenerationRate Intensity External_Source_ElectricField Transmission Reflection Absorption 
799.433 3.42061e+20 332.247 108.459 0 0 0 
804.553 3.40712e+20 331.63 151.687 0 0 0 
809.674 3.39373e+20 331.012 191.552 0 0 0 
814.796 3.38044e+20 330.396 227.458 0 0 0 
819.918 3.36725e+20 329.781 258.926 0 0 0 
825.042 3.35415e+20 329.169 285.601 0 0 0 
830.166 3.34115e+20 328.56 307.249 0 0 0 
835.291 3.32825e+20 327.955 323.755 0 0 0 
840.416 3.31544e+20 327.355 335.106 0 0 0 
845.543 3.30273e+20 326.761 341.376 0 0 0 
850.67 3.29011e+20 326.172 342.707 0 0 0 
855.798 3.27759e+20 325.59 339.29 0 0 0 
860.927 3.26516e+20 325.013 331.349 0 0 0 
866.056 3.25281e+20 324.442 319.123 0 0 0 
871.186 3.24056e+20 323.877 302.859 0 0 0 
876.317 3.2284e+20 323.315 282.808 0 0 0 
881.449 3.21632e+20 322.758 259.227 0 0 0 
886.582 3.20432e+20 322.204 232.383 0 0 0 
891.715 3.19241e+20 321.651 202.564 0 0 0 
896.849 3.18058e+20 321.1 170.092 0 0 0 
901.984 3.16882e+20 320.549 135.33 0 0 0 
907.12 3.15715e+20 319.998 98.6914 0 0 0 
912.256 3.14555e+20 319.446 60.6495 0 0 0 
917.394 3.13403e+20 318.893 21.7321 0 0 0 
922.532 3.12258e+20 318.339 -17.4817 0 0 0 
927.67 3.1112e+20 317.784 -56.3729 0 0 0 
932.81 3.0999e+20 317.228 -94.299 0 0 0 
937.95 3.08867e+20 316.672 -130.613 0 0 0 
943.091 3.07752e+20 316.115 -164.685 0 0 0 
948.233 3.06644e+20 315.56 -195.923 0 0 0 
953.376 3.05543e+20 315.007 -223.792 0 0 0 
958.519 3.04449e+20 314.456 -247.835 0 0 0 
963.663 3.03363e+20 313.909 -267.68 0 0 0 
968.808 3.02284e+20 313.366 -283.048 0 0 0 
973.954 3.01212e+20 312.827 -293.763 0 0 0 
979.1 3.00147e+20 312.293 -299.741 0 0 0 
984.247 2.9909e+20 311.765 -300.993 0 0 0 
989.395 2.98039e+20 311.242 -297.61 0 0 0 
994.544 2.96995e+20 310.724 -289.759 0 0 0 
999.694 2.95959e+20 310.21 -277.67 0 0 0 
1004.84 2.94929e+20 309.701 -261.623 0 0 0 
1010 2.93905e+20 309.195 -241.945 0 0 0 
1015.15 2.92888e+20 308.692 -218.993 0 0 0 
1020.3 2.91877e+20 308.19 -193.156 0 0 0 
1025.45 2.90873e+20 307.69 -164.842 0 0 0 
1030.61 2.89874e+20 307.191 -134.478 0 0 0 
1035.76 2.88881e+20 306.691 -102.505 0 0 0 
1040.92 2.87895e+20 306.191 -69.3735 0 0 0 
1046.07 2.86914e+20 305.689 -35.5441 0 0 0 
1051.23 2.85938e+20 305.186 -1.48205 0 0 0 
1056.39 2.84969e+20 304.682 32.3454 0 0 0 
1061.55 2.84005e+20 304.177 65.4721 0 0 0 
1066.71 2.83046e+20 303.672 97.4376 0 0 0 
1071.87 2.82094e+20 303.166 127.792 0 0 0 
1077.03 2.81147e+20 302.661 156.101 0 0 0 
1082.19 2.80205e+20 302.158 181.953 0 0 0 
1087.35 2.7927e+20 301.656 204.963 0 0 0 
1092.52 2.7834e+20 301.157 224.784 0 0 0 
1097.68 2.77415e+20 300.662 241.109 0 0 0 
1102.85 2.76497e+20 300.17 253.682 0 0 0 
1108.01 2.75584e+20 299.682 262.301 0 0 0 
1113.18 2.74676e+20 299.2 266.827 0 0 0 
1118.35 2.73774e+20 298.721 267.188 0 0 0 
1123.51 2.72878e+20 298.248 263.379 0 0 0 
1128.68 2.71987e+20 297.778 255.47 0 0 0 
1133.85 2.71101e+20 297.313 243.6 0 0 0 
1139.02 2.7022e+20 296.85 227.977 0 0 0 
1144.2 2.69345e+20 296.39 208.877 0 0 0 
1149.37 2.68474e+20 295.932 186.632 0 0 0 
1154.54 2.67608e+20 295.475 161.628 0 0 0 
1159.71 2.66747e+20 295.018 134.293 0 0 0 
1164.89 2.65891e+20 294.562 105.089 0 0 0 
1170.06 2.65039e+20 294.105 74.5046 0 0 0 
1175.24 2.64192e+20 293.646 43.0398 0 0 0 
1180.42 2.6335e+20 293.187 11.2013 0 0 0 
1185.59 2.62512e+20 292.726 -20.5076 0 0 0 
1190.77 2.61678e+20 292.265 -51.5949 0 0 0 
1195.95 2.60849e+20 291.803 -81.5865 0 0 0 
1201.13 2.60024e+20 291.34 -110.032 0 0 0 
1206.31 2.59204e+20 290.878 -136.511 0 0 0 
1211.49 2.58388e+20 290.417 -160.635 0 0 0 
1216.67 2.57577e+20 289.957 -182.055 0 0 0 
1221.86 2.5677e+20 289.499 -200.464 0 0 0 
1227.04 2.55968e+20 289.045 -215.598 0 0 0 
1232.22 2.55171e+20 288.593 -227.244 0 0 0 
1237.41 2.54378e+20 288.146 -235.241 0 0 0 
1242.6 2.53589e+20 287.702 -239.484 0 0 0 
1247.78 2.52805e+20 287.262 -239.927 0 0 0 
1252.97 2.52025e+20 286.827 -236.583 0 0 0 
1258.16 2.5125e+20 286.395 -229.53 0 0 0 
1263.35 2.50479e+20 285.967 -218.904 0 0 0 
1268.54 2.49712e+20 285.541 -204.907 0 0 0 
1273.73 2.48949e+20 285.118 -187.794 0 0 0 
1278.92 2.48191e+20 284.697 -167.878 0 0 0 
1284.11 2.47436e+20 284.277 -145.515 0 0 0 
1289.3 2.46685e+20 283.857 -121.105 0 0 0 
1294.5 2.45937e+20 283.437 -95.074 0 0 0 
1299.69 2.45194e+20 283.017 -67.8726 0 0 0 
1304.89 2.44454e+20 282.596 -39.9601 0 0 0 
1310.08 2.43718e+20 282.174 -11.7964 0 0 0 
1315.28 2.42986e+20 281.75 16.1676 0 0 0 
1320.48 2.42257e+20 281.326 43.4992 0 0 0 
1325.68 2.41531e+20 280.901 69.7906 0 0 0 
1330.88 2.4081e+20 280.475 94.6651 0 0 0 
1336.08 2.40091e+20 280.05 117.781 0 0 0 
1341.28 2.39377e+20 279.626 138.833 0 0 0 
1346.48 2.38666e+20 279.202 157.556 0 0 0 
1351.68 2.37959e+20 278.781 173.721 0 0 0 
1356.88 2.37256e+20 278.361 187.137 0 0 0 
1362.09 2.36556e+20 277.945 197.649 0 0 0 
1367.29 2.3586e+20 277.532 205.138 0 0 0 
1372.5 2.35168e+20 277.122 209.517 0 0 0 
1377.7 2.34479e+20 276.716 210.738 0 0 0 
1382.91 2.33794e+20 276.314 208.785 0 0 0 
1388.12 2.33113e+20 275.915 203.682 0 0 0 
1393.33 2.32435e+20 275.519 195.491 0 0 0 
1398.54 2.31761e+20 275.126 184.321 0 0 0 
1403.75 2.3109e+20 274.734 170.321 0 0 0 
1408.96 2.30422e+20 274.345 153.689 0 0 0 
1414.17 2.29757e+20 273.957 134.672 0 0 0 
1419.38 2.29096e+20 273.569 113.562 0 0 0 
1424.6 2.28438e+20 273.181 90.6923 0 0 0 
1429.81 2.27783e+20 272.792 66.4386 0 0 0 
1435.02 2.2713e+20 272.403 41.2065 0 0 0 
1440.24 2.26481e+20 272.013 15.426 0 0 0 
1445.46 2.25835e+20 271.622 -10.4591 0 0 0 
1450.67 2.25192e+20 271.23 -36.0015 0 0 0 
1455.89 2.24551e+20 270.837 -60.761 0 0 0 
1461.11 2.23914e+20 270.444 -84.3157 0 0 0 
1466.33 2.2328e+20 270.051 -106.271 0 0 0 
1471.55 2.22649e+20 269.659 -126.269 0 0 0 
1476.77 2.2202e+20 269.267 -143.994 0 0 0 
1481.99 2.21395e+20 268.877 -159.18 0 0 0 
1487.22 2.20773e+20 268.489 -171.612 0 0 0 
1492.44 2.20154e+20 268.103 -181.128 0 0 0 
1497.66 2.19538e+20 267.72 -187.618 0 0 0 
1502.89 2.18925e+20 267.341 -191.028 0 0 0 
1508.11 2.18315e+20 266.964 -191.348 0 0 0 
1513.34 2.17708e+20 266.591 -188.62 0 0 0 
1518.57 2.17105e+20 266.221 -182.928 0 0 0 
1523.8 2.16504e+20 265.853 -174.397 0 0 0 
1529.03 2.15906e+20 265.488 -163.191 0 0 0 
1534.26 2.1531e+20 265.125 -149.509 0 0 0 
1539.49 2.14718e+20 264.763 -133.585 0 0 0 
1544.72 2.14128e+20 264.403 -115.68 0 0 0 
1549.95 2.13541e+20 264.042 -96.0872 0 0 0 
1555.18 2.12957e+20 263.682 -75.1227 0 0 0 
1560.42 2.12375e+20 263.322 -53.1251 0 0 0 
1565.65 2.11795e+20 262.961 -30.4508 0 0 0 
1570.89 2.11218e+20 262.599 -7.46864 0 0 0 
1576.12 2.10644e+20 262.236 15.445 0 0 0 
1581.36 2.10072e+20 261.872 37.9132 0 0 0 
1586.6 2.09502e+20 261.508 59.5649 0 0 0 
1591.83 2.08935e+20 261.143 80.0425 0 0 0 
1597.07 2.0837e+20 260.778 99.0086 0 0 0 
1602.31 2.07808e+20 260.414 116.153 0 0 0 
1607.55 2.07249e+20 260.05 131.2 0 0 0 
1612.8 2.06692e+20 259.688 143.912 0 0 0 
1618.04 2.06138e+20 259.327 154.096 0 0 0 
1623.28 2.05586e+20 258.969 161.605 0 0 0 
1628.52 2.05037e+20 258.613 166.341 0 0 0 
1633.77 2.0449e+20 258.26 168.258 0 0 0 
1639.02 2.03946e+20 257.909 167.358 0 0 0 
1644.26 2.03405e+20 257.562 163.692 0 0 0 
1649.51 2.02866e+20 257.217 157.357 0 0 0 
1654.76 2.02329e+20 256.874 148.495 0 0 0 
1660 2.01795e+20 256.534 137.29 0 0 0 
1665.25 2.01264e+20 256.196 123.96 0 0 0 
1670.5 2.00735e+20 255.859 108.758 0 0 0 
1675.76 2.00208e+20 255.523 91.9659 0 0 0 
1681.01 1.99683e+20 255.187 73.8882 0 0 0 
1686.26 1.9916e+20 254.851 54.8497 0 0 0 
1691.51 1.9864e+20 254.515 35.1886 0 0 0 
1696.77 1.98121e+20 254.179 15.2513 0 0 0 
1702.02 1.97605e+20 253.842 -4.6137 0 0 0 
1707.28 1.97091e+20 253.504 -24.0616 0 0 0 
1712.53 1.96579e+20 253.165 -42.7582 0 0 0 
1717.79 1.96069e+20 252.826 -60.3862 0 0 0 
1723.05 1.95561e+20 252.486 -76.6515 0 0 0 
1728.31 1.95055e+20 252.146 -91.2896 0 0 0 
1733.57 1.94552e+20 251.806 -104.071 0 0 0 
1738.83 1.9405e+20 251.468 -114.806 0 0 0 
1744.09 1.93551e+20 251.13 -123.348 0 0 0 
1749.35 1.93054e+20 250.794 -129.6 0 0 0 
1754.61 1.92559e+20 250.46 -133.509 0 0 0 
1759.88 1.92067e+20 250.128 -135.075 0 0 0 
1765.14 1.91576e+20 249.798 -134.344 0 0 0 
1770.41 1.91088e+20 249.471 -131.405 0 0 0 
1775.67 1.90602e+20 249.147 -126.392 0 0 0 
1780.94 1.90118e+20 248.825 -119.472 0 0 0 
1786.21 1.89636e+20 248.505 -110.845 0 0 0 
1791.48 1.89156e+20 248.187 -100.735 0 0 0 
1796.74 1.88679e+20 247.87 -89.3793 0 0 0 
1802.01 1.88203e+20 247.555 -77.0296 0 0 0 
1807.29 1.87729e+20 247.241 -63.9375 0 0 0 
1812.56 1.87257e+20 246.927 -50.3519 0 0 0 
1817.83 1.86787e+20 246.613 -36.5116 0 0 0 
1823.1 1.86319e+20 246.299 -22.6412 0 0 0 
1828.38 1.85853e+20 245.984 -8.94679 0 0 0 
1833.65 1.85388e+20 245.669 4.38643 0 0 0 
1838.93 1.84925e+20 245.353 17.1956 0 0 0 
1844.2 1.84464e+20 245.036 29.3404 0 0 0 
1849.48 1.84005e+20 244.719 40.7024 0 0 0 
1854.76 1.83548e+20 244.402 51.1832 0 0 0 
1860.04 1.83092e+20 244.084 60.7021 0 0 0 
1865.31 1.82638e+20 243.767 69.1937 0 0 0 
1870.59 1.82186e+20 243.45 76.6051 0 0 0 
1875.88 1.81736e+20 243.135 82.8931 0 0 0 
1881.16 1.81288e+20 242.821 88.0226 0 0 0 
