# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Internal_Source_ElectricField
# 3 Internal_Poynting
# 4 Internal_Power
# 5 Internal_Intensity
# 6 Internal_Absorption
# x Internal_Source_ElectricField Internal_Poynting Internal_Power Internal_Intensity Internal_Absorption 
284 -0.100065 -0.148447 0 0.000196931 0 
285 -0.107742 -0.148447 0 0.000196931 0 
286 -0.115288 -0.148447 0 0.000196931 0 
287 -0.122696 -0.148447 0 0.000196931 0 
288 -0.129956 -0.148447 0 0.000196931 0 
289 -0.137058 -0.148447 0 0.000196931 0 
290 -0.143996 -0.148447 0 0.000196931 0 
291 -0.15076 -0.148447 0 0.000196931 0 
292 -0.157342 -0.148447 0 0.000196931 0 
293 -0.163735 -0.148447 0 0.000196931 0 
294 -0.16993 -0.148447 0 0.000196931 0 
295 -0.17592 -0.148447 0 0.000196931 0 
296 -0.181698 -0.148447 0 0.000196931 0 
297 -0.187256 -0.148447 0 0.000196931 0 
298 -0.192589 -0.148447 0 0.000196931 0 
299 -0.19769 -0.148447 0 0.000196931 0 
300 -0.202552 -0.148447 0 0.000196931 0 
301 -0.20717 -0.148447 0 0.000196931 0 
302 -0.211539 -0.148447 0 0.000196931 0 
303 -0.215652 -0.148447 0 0.000196931 0 
304 -0.219505 -0.148447 0 0.000196931 0 
305 -0.223093 -0.148447 0 0.000196931 0 
306 -0.226412 -0.148447 0 0.000196931 0 
307 -0.229459 -0.148447 0 0.000196931 0 
308 -0.232228 -0.148447 0 0.000196931 0 
309 -0.234718 -0.148447 0 0.000196931 0 
310 -0.236924 -0.148447 0 0.000196931 0 
311 -0.238845 -0.148447 0 0.000196931 0 
312 -0.240477 -0.148447 0 0.000196931 0 
313 -0.24182 -0.148447 0 0.000196931 0 
314 -0.242871 -0.148447 0 0.000196931 0 
315 -0.243629 -0.148447 0 0.000196931 0 
316 -0.244094 -0.148447 0 0.000196931 0 
317 -0.244264 -0.148447 0 0.000196931 0 
318 -0.244139 -0.148447 0 0.000196931 0 
319 -0.24372 -0.148447 0 0.000196931 0 
320 -0.243007 -0.148447 0 0.000196931 0 
321 -0.242001 -0.148447 0 0.000196931 0 
322 -0.240703 -0.148447 0 0.000196931 0 
323 -0.239115 -0.148447 0 0.000196931 0 
324 -0.237239 -0.148447 0 0.000196931 0 
325 -0.235076 -0.148447 0 0.000196931 0 
326 -0.23263 -0.148447 0 0.000196931 0 
327 -0.229903 -0.148447 0 0.000196931 0 
328 -0.2269 -0.148447 0 0.000196931 0 
329 -0.223622 -0.148447 0 0.000196931 0 
330 -0.220075 -0.148447 0 0.000196931 0 
331 -0.216263 -0.148447 0 0.000196931 0 
332 -0.212189 -0.148447 0 0.000196931 0 
333 -0.20786 -0.148447 0 0.000196931 0 
334 -0.20328 -0.148447 0 0.000196931 0 
335 -0.198455 -0.148447 0 0.000196931 0 
336 -0.193391 -0.148447 0 0.000196931 0 
337 -0.188093 -0.148447 0 0.000196931 0 
338 -0.182569 -0.148447 0 0.000196931 0 
339 -0.176824 -0.148447 0 0.000196931 0 
340 -0.170866 -0.148447 0 0.000196931 0 
341 -0.164702 -0.148447 0 0.000196931 0 
342 -0.15834 -0.148447 0 0.000196931 0 
343 -0.151786 -0.148447 0 0.000196931 0 
344 -0.14505 -0.148447 0 0.000196931 0 
345 -0.138138 -0.148447 0 0.000196931 0 
346 -0.13106 -0.148447 0 0.000196931 0 
347 -0.123824 -0.148447 0 0.000196931 0 
348 -0.116439 -0.148447 0 0.000196931 0 
349 -0.108913 -0.148447 0 0.000196931 0 
350 -0.101256 -0.148447 0 0.000196931 0 
351 -0.0934767 -0.148447 0 0.000196931 0 
352 -0.0855847 -0.148447 0 0.000196931 0 
353 -0.0775895 -0.148447 0 0.000196931 0 
354 -0.0695007 -0.148447 0 0.000196931 0 
355 -0.0613281 -0.148447 0 0.000196931 0 
356 -0.0530816 -0.148447 0 0.000196931 0 
357 -0.044771 -0.148447 0 0.000196931 0 
358 -0.0364065 -0.148447 0 0.000196931 0 
359 -0.027998 -0.148447 0 0.000196931 0 
360 -0.0195558 -0.148447 0 0.000196931 0 
361 -0.01109 -0.148447 0 0.000196931 0 
362 -0.00261084 -0.148447 0 0.000196931 0 
363 0.00587149 -0.148447 0 0.000196931 0 
364 0.0143467 -0.148447 0 0.000196931 0 
365 0.0228047 -0.148447 0 0.000196931 0 
366 0.0312351 -0.148447 0 0.000196931 0 
367 0.0396279 -0.148447 0 0.000196931 0 
368 0.0479729 -0.148447 0 0.000196931 0 
369 0.05626 -0.148447 0 0.000196931 0 
370 0.0644793 -0.148447 0 0.000196931 0 
371 0.0726208 -0.148447 0 0.000196931 0 
372 0.0806748 -0.148447 0 0.000196931 0 
373 0.0886314 -0.148447 0 0.000196931 0 
374 0.0964812 -0.148447 0 0.000196931 0 
375 0.104215 -0.148447 0 0.000196931 0 
376 0.111822 -0.148447 0 0.000196931 0 
377 0.119295 -0.148447 0 0.000196931 0 
378 0.126624 -0.148447 0 0.000196931 0 
379 0.133801 -0.148447 0 0.000196931 0 
380 0.140816 -0.148447 0 0.000196931 0 
381 0.147661 -0.148447 0 0.000196931 0 
382 0.154328 -0.148447 0 0.000196931 0 
383 0.160809 -0.148447 0 0.000196931 0 
384 0.167096 -0.148447 0 0.000196931 0 
385 0.173181 -0.148447 0 0.000196931 0 
386 0.179058 -0.148447 0 0.000196931 0 
387 0.184719 -0.148447 0 0.000196931 0 
388 0.190157 -0.148447 0 0.000196931 0 
389 0.195365 -0.148447 0 0.000196931 0 
390 0.200339 -0.148447 0 0.000196931 0 
391 0.20507 -0.148447 0 0.000196931 0 
392 0.209554 -0.148447 0 0.000196931 0 
393 0.213786 -0.148447 0 0.000196931 0 
394 0.217759 -0.148447 0 0.000196931 0 
395 0.22147 -0.148447 0 0.000196931 0 
396 0.224914 -0.148447 0 0.000196931 0 
397 0.228087 -0.148447 0 0.000196931 0 
398 0.230985 -0.148447 0 0.000196931 0 
399 0.233604 -0.148447 0 0.000196931 0 
400 0.235941 -0.148447 0 0.000196931 0 
401 0.237994 -0.148447 0 0.000196931 0 
402 0.23976 -0.148447 0 0.000196931 0 
403 0.241237 -0.148447 0 0.000196931 0 
404 0.242422 -0.148447 0 0.000196931 0 
405 0.243316 -0.148447 0 0.000196931 0 
406 0.243916 -0.148447 0 0.000196931 0 
407 0.244222 -0.148447 0 0.000196931 0 
408 0.244233 -0.148447 0 0.000196931 0 
409 0.24395 -0.148447 0 0.000196931 0 
410 0.243372 -0.148447 0 0.000196931 0 
411 0.242502 -0.148447 0 0.000196931 0 
412 0.241338 -0.148447 0 0.000196931 0 
413 0.239884 -0.148447 0 0.000196931 0 
414 0.23814 -0.148447 0 0.000196931 0 
415 0.236109 -0.148447 0 0.000196931 0 
416 0.233794 -0.148447 0 0.000196931 0 
417 0.231196 -0.148447 0 0.000196931 0 
418 0.22832 -0.148447 0 0.000196931 0 
419 0.225168 -0.148447 0 0.000196931 0 
420 0.221745 -0.148447 0 0.000196931 0 
