# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Internal_Source_ElectricField
# 3 Internal_Poynting
# 4 Internal_Power
# 5 Internal_Absorption
# x Internal_Source_ElectricField Internal_Poynting Internal_Power Internal_Absorption 
54 0.0191084 -0.00369103 -4.25643e-06 0 
55 0.0190657 -0.00369103 -4.25643e-06 0 
56 0.0190219 -0.00369103 -4.25643e-06 0 
57 0.0189773 -0.00369103 -4.25643e-06 0 
58 0.0189317 -0.00369103 -4.25643e-06 0 
59 0.0188852 -0.00369103 -4.25643e-06 0 
60 0.0188378 -0.00369103 -4.25643e-06 0 
61 0.0187894 -0.00369103 -4.25643e-06 0 
62 0.0187401 -0.00369103 -4.25643e-06 0 
63 0.0186898 -0.00369103 -4.25643e-06 0 
64 0.0186386 -0.00369103 -4.25643e-06 0 
65 0.0185865 -0.00369103 -4.25643e-06 0 
66 0.0185334 -0.00369103 -4.25643e-06 0 
67 0.0184794 -0.00369103 -4.25643e-06 0 
68 0.0184244 -0.00369103 -4.25643e-06 0 
69 0.0183684 -0.00369103 -4.25643e-06 0 
70 0.0183115 -0.00369103 -4.25643e-06 0 
71 0.0182536 -0.00369103 -4.25643e-06 0 
72 0.0181947 -0.00369103 -4.25643e-06 0 
73 0.0181349 -0.00369103 -4.25643e-06 0 
74 0.0180741 -0.00369103 -4.25643e-06 0 
75 0.0180123 -0.00369103 -4.25643e-06 0 
76 0.0179496 -0.00369103 -4.25643e-06 0 
77 0.0178858 -0.00369103 -4.25643e-06 0 
78 0.0178211 -0.00369103 -4.25643e-06 0 
79 0.0177554 -0.00369103 -4.25643e-06 0 
80 0.0176887 -0.00369103 -4.25643e-06 0 
81 0.017621 -0.00369103 -4.25643e-06 0 
82 0.0175523 -0.00369103 -4.25643e-06 0 
83 0.0174825 -0.00369103 -4.25643e-06 0 
84 0.0174118 -0.00369103 -4.25643e-06 0 
85 0.0173401 -0.00369103 -4.25643e-06 0 
86 0.0172673 -0.00369103 -4.25643e-06 0 
87 0.0171935 -0.00369103 -4.25643e-06 0 
88 0.0171187 -0.00369103 -4.25643e-06 0 
89 0.0170428 -0.00369103 -4.25643e-06 0 
90 0.0169659 -0.00369103 -4.25643e-06 0 
91 0.016888 -0.00369103 -4.25643e-06 0 
92 0.016809 -0.00369103 -4.25643e-06 0 
93 0.016729 -0.00369103 -4.25643e-06 0 
94 0.0166479 -0.00369103 -4.25643e-06 0 
95 0.0165658 -0.00369103 -4.25643e-06 0 
96 0.0164825 -0.00369103 -4.25643e-06 0 
97 0.0163982 -0.00369103 -4.25643e-06 0 
98 0.0163129 -0.00369103 -4.25643e-06 0 
99 0.0162264 -0.00369103 -4.25643e-06 0 
100 0.0161388 -0.00369103 -4.25643e-06 0 
101 0.0160502 -0.00369103 -4.25643e-06 0 
102 0.0159604 -0.00369103 -4.25643e-06 0 
103 0.0158696 -0.00369103 -4.25643e-06 0 
104 0.0157776 -0.00369103 -4.25643e-06 0 
105 0.0156845 -0.00369103 -4.25643e-06 0 
106 0.0155902 -0.00369103 -4.25643e-06 0 
107 0.0154949 -0.00369103 -4.25643e-06 0 
108 0.0153983 -0.00369103 -4.25643e-06 0 
109 0.0153007 -0.00369103 -4.25643e-06 0 
110 0.0152018 -0.00369103 -4.25643e-06 0 
111 0.0151018 -0.00369103 -4.25643e-06 0 
112 0.0150006 -0.00369103 -4.25643e-06 0 
113 0.0148983 -0.00369103 -4.25643e-06 0 
114 0.0147947 -0.00369103 -4.25643e-06 0 
115 0.01469 -0.00369103 -4.25643e-06 0 
116 0.014584 -0.00369103 -4.25643e-06 0 
117 0.0144769 -0.00369103 -4.25643e-06 0 
118 0.0143685 -0.00369103 -4.25643e-06 0 
119 0.0142588 -0.00369103 -4.25643e-06 0 
120 0.0141479 -0.00369103 -4.25643e-06 0 
121 0.0140358 -0.00369103 -4.25643e-06 0 
122 0.0139224 -0.00369103 -4.25643e-06 0 
123 0.0138077 -0.00369103 -4.25643e-06 0 
124 0.0136918 -0.00369103 -4.25643e-06 0 
125 0.0135745 -0.00369103 -4.25643e-06 0 
126 0.013456 -0.00369103 -4.25643e-06 0 
127 0.0133361 -0.00369103 -4.25643e-06 0 
128 0.0132149 -0.00369103 -4.25643e-06 0 
129 0.0130923 -0.00369103 -4.25643e-06 0 
130 0.0129684 -0.00369103 -4.25643e-06 0 
131 0.0128432 -0.00369103 -4.25643e-06 0 
132 0.0127166 -0.00369103 -4.25643e-06 0 
133 0.0125885 -0.00369103 -4.25643e-06 0 
134 0.0124591 -0.00369103 -4.25643e-06 0 
135 0.0123283 -0.00369103 -4.25643e-06 0 
136 0.012196 -0.00369103 -4.25643e-06 0 
