# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z CurrentDensity_x CurrentDensity_y CurrentDensity_z 
-15 0.0116871 -1.88496 -0.0101374 -1.77379 2.63263e+17 2.24741e+17 6116.11 284.124 5933.71 0 0 0 0 0 -99831.1 0 0 
-15 0.0116871 -1.88496 -0.0101374 -1.77379 2.63263e+17 2.24741e+17 6116.11 284.124 5367.19 0 0 0 0 0 -99831.1 0 0 
-14.0223 0.0122119 -1.88444 -0.0101697 -1.77393 2.58808e+17 2.30657e+17 6116.11 284.124 5163.18 0 0 0 0 0 -99831.1 0 0 
-13.1307 0.0126556 -1.88399 -0.0101996 -1.77406 2.56223e+17 2.35971e+17 6116.11 284.124 4843.87 0 0 0 0 0 -99831.1 0 0 
-12.3175 0.0130397 -1.88361 -0.010227 -1.77418 2.55583e+17 2.40951e+17 6116.11 284.124 4635.1 0 0 0 0 0 -99831.1 0 0 
-11.5759 0.0133775 -1.88327 -0.0102519 -1.77428 2.57297e+17 2.4592e+17 6116.11 284.124 4494.07 0 0 0 0 0 -99831.1 0 0 
-10.8995 0.0136777 -1.88297 -0.0102743 -1.77437 2.62087e+17 2.51317e+17 6116.11 284.124 4385.07 0 0 0 0 0 -99831.1 0 0 
-10.2827 0.0139452 -1.8827 -0.0102943 -1.77445 2.71014e+17 2.57764e+17 6116.11 284.124 4277.01 0 0 0 0 0 -99831.1 0 0 
-9.72008 0.0141827 -1.88247 -0.0103117 -1.77453 2.85556e+17 2.66145e+17 6116.11 284.124 4142.04 0 0 0 0 0 -99831.1 0 0 
-9.207 0.0143915 -1.88226 -0.0103266 -1.77459 3.07718e+17 2.77665e+17 6116.11 284.124 3954.34 0 0 0 0 0 -99831.1 0 0 
-8.73906 0.0145717 -1.88208 -0.0103391 -1.77464 3.40162e+17 2.93914e+17 6116.11 284.124 3689.04 0 0 0 0 0 -99831.1 0 0 
